,new team,stars,year
842,Arkansas Tech University,8.3,2014
843,Armstrong State University,4.0,2014
844,Assumption College,6.0,2014
845,Auburn,7.7,2014
846,Ball State,5.0,2014
847,Barry University,6.0,2014
848,Baton Rouge Community College,2.0,2014
849,Baylor,2.0,2014
850,Bellarmine University,6.3,2014
851,Bethel College,2.0,2014
852,Bethune–Cookman,10.0,2014
853,Blinn College,4.0,2014
854,Boston College,4.6,2014
855,Bowie State University,6.0,2014
856,Brigham Young,5.0,2014
857,Brigham Young University-Hawaii,2.0,2014
858,Brigham Young University–Hawaii,4.0,2014
859,Broward College,2.0,2014
860,Brunswick Community College,2.0,2014
861,Bryant & Stratton College,2.0,2014
862,Buffalo,2.0,2014
863,Butler,7.0,2014
864,Butler Community College,2.0,2014
865,Cal Poly,2.3,2014
866,Cal State Bakersfield,5.0,2014
867,Cal State Fullerton,4.0,2014
868,California,2.0,2014
869,California Baptist University,4.0,2014
870,"California State Polytechnic University, Pomona",2.0,2014
871,California State University San Marcos,2.0,2014
872,"California State University, Dominguez Hills",2.3,2014
873,"California State University, East Bay",2.0,2014
874,"California State University, Los Angeles",2.3,2014
875,"California State University, San Bernardino",4.0,2014
876,"California State University, San Marcos",4.0,2014
877,Cameron University,2.0,2014
878,Campbell,2.0,2014
879,Campbellsville University,6.3,2014
880,Cape Fear Community College,2.0,2014
881,Carnegie Mellon University,2.0,2014
882,Carroll University,2.0,2014
883,Casper College,4.0,2014
884,Castleton State College,2.0,2014
885,Catawba College,4.0,2014
886,Central Arizona College,2.0,2014
887,Central Arkansas,6.0,2014
888,Central Connecticut State,2.0,2014
889,Central Washington University,2.5,2014
890,Chaffey College,2.0,2014
891,Chaminade University of Honolulu,2.0,2014
892,Charleston Southern,2.0,2014
893,Charlotte,2.3,2014
894,Chattanooga State Community College,2.0,2014
895,Chico State University,2.0,2014
896,Chipola College,3.0,2014
897,Chowan University,2.0,2014
898,Christopher Newport University,2.0,2014
899,Claflin University,2.0,2014
900,Clarendon College,2.0,2014
901,Clark Atlanta University,2.0,2014
902,Clark University,2.0,2014
903,Clayton State,2.0,2014
904,Clayton State University,2.0,2014
905,Clemson,2.0,2014
906,Cleveland State,4.5,2014
907,Cloud County Community College,2.0,2014
908,Coastal Carolina,2.5,2014
909,Coffeyville Community College,4.0,2014
910,Colgate,5.0,2014
911,College of Central Florida,6.7,2014
912,College of Charleston,2.5,2014
913,College of Southern Idaho,2.0,2014
914,Colorado,3.0,2014
915,Colorado State,8.7,2014
916,Columbia State Community College,4.0,2014
917,Columbus State University,2.7,2014
918,Connors State College,2.0,2014
919,Creighton,8.3,2014
920,Dallas Baptist University,4.0,2014
921,Dalton State College,2.5,2014
922,Dartmouth,3.0,2014
923,Davenport University,2.0,2014
924,Dayton,4.0,2014
925,Daytona State College,2.0,2014
926,Delgado Community College,2.0,2014
927,Detroit Mercy,5.7,2014
928,Diablo Valley College,4.0,2014
929,Dixie State University,2.0,2014
930,Dominican College,2.0,2014
931,Drake,5.7,2014
932,Drexel,4.3,2014
933,Duke,2.0,2014
934,Duquesne,3.0,2014
935,ETSU,5.0,2014
936,East Central Community College,2.0,2014
937,East Los Angeles College,2.0,2014
938,East Stroudsburg University of Pennsylvania,2.0,2014
939,Eastern Florida State College,7.9,2014
940,Eastern Kentucky,5.0,2014
941,Eastern Michigan,6.3,2014
942,Eastern Oregon University,2.0,2014
943,Elmhurst College,2.0,2014
944,Evansville,2.0,2014
945,Fairleigh Dickinson,6.0,2014
946,Fairmont State University,4.0,2014
947,Felician College,2.0,2014
948,Flagler College,2.0,2014
949,Florida,10.7,2014
950,Florida A&M,4.0,2014
951,Florida Atlantic,7.0,2014
952,Florida Gulf Coast,2.7,2014
953,Florida International,2.0,2014
954,Florida Southern College,4.0,2014
955,Fort Hays State University,4.0,2014
956,Fort Lewis College,2.0,2014
957,Furman,2.7,2014
958,GCU,6.0,2014
959,Gannon University,2.0,2014
960,Garden City Community College,2.0,2014
961,George Washington,3.0,2014
962,Georgetown College,9.3,2014
963,Georgia Highlands College,4.0,2014
964,Georgia Southwestern State University,6.0,2014
965,Georgia State,10.0,2014
966,Georgia Tech,13.0,2014
967,Glenville State College,4.0,2014
968,Goldey-Beacom College,2.0,2014
969,Gonzaga,5.0,2014
970,Guilford College,2.0,2014
971,Hampden-Sydney College,2.0,2014
972,Hampton,4.3,2014
973,Harcum College,7.7,2014
974,Hartford,6.0,2014
975,Hawaii,3.0,2014
976,Hawaii Pacific University,2.3,2014
977,Henderson State University,4.0,2014
978,Highline Community College,2.0,2014
979,Hill College,2.0,2014
980,Hofstra,2.0,2014
981,Holmes Community College,3.0,2014
982,Holy Family University,2.0,2014
983,Houston,4.0,2014
984,Houston Baptist,2.3,2014
985,Howard College,2.5,2014
986,Humboldt State University,2.0,2014
987,IUPUI,10.7,2014
988,Idaho,2.0,2014
989,Illinois,2.0,2014
990,Illinois State,2.7,2014
991,Incarnate Word,2.0,2014
992,Independence Community College,2.0,2014
993,Indian Hills Community College,6.0,2014
994,Indiana,2.0,2014
995,Indiana Institute of Technology,2.0,2014
996,Indiana State,2.0,2014
997,Indiana University of Pennsylvania,2.0,2014
998,Indiana Wesleyan University,2.0,2014
999,Iona,4.0,2014
1000,Iowa State,6.7,2014
1001,Iowa Western Community College,4.0,2014
1002,Jackson State,6.0,2014
1003,James Madison,2.0,2014
1004,Jarvis Christian College,2.0,2014
1005,John A. Logan College,2.5,2014
1006,Kansas City,2.3,2014
1007,Kansas City Kansas Community College,2.0,2014
1008,Kaskaskia College,6.5,2014
1009,Kennesaw State,5.3,2014
1010,Kent State,4.0,2014
1011,Kentucky Wesleyan College,11.6,2014
1012,Kilgore College,2.0,2014
1013,King University,2.0,2014
1014,Kutztown University of Pennsylvania,2.0,2014
1015,LIU,2.0,2014
1016,Langston University,2.3,2014
1017,Lee College,5.5,2014
1018,Lenoir–Rhyne University,2.0,2014
1019,Lewis-Clark State College,2.0,2014
1020,Liberty,5.7,2014
1021,Limestone College,2.0,2014
1022,Lincoln Trail College,2.0,2014
1023,Lincoln University,2.0,2014
1024,Lindenwood University,6.0,2014
1025,Lindenwood University – Belleville,2.0,2014
1026,Lindsey Wilson College,2.0,2014
1027,Lipscomb,2.0,2014
1028,Lock Haven University of Pennsylvania,2.0,2014
1029,Long Beach State,11.6,2014
1030,Long Island University-Post,4.0,2014
1031,Longwood,4.0,2014
1032,Louisburg College,4.0,2014
1033,Louisiana,3.0,2014
1034,Louisiana State University at Alexandria,8.0,2014
1035,Louisiana State University in Shreveport,4.3,2014
1036,Louisiana–Monroe,3.0,2014
1037,Loyola Marymount,5.0,2014
1038,Lynn University,2.0,2014
1039,Manhattan,4.7,2014
1040,Marquette,12.3,2014
1041,Marshall,2.5,2014
1042,Martin Methodist College,2.0,2014
1043,Maryland,6.3,2014
1044,Maryville University,2.0,2014
1045,McCook Community College,4.0,2014
1046,McLennan Community College,8.0,2014
1047,McMaster University,2.0,2014
1048,Memphis,6.3,2014
1049,Mercer,3.0,2014
1050,Merrimack College,2.0,2014
1051,Metropolitan State University of Denver,2.0,2014
1052,Miami,5.0,2014
1053,Miami (OH),2.7,2014
1054,Miami Dade College,3.0,2014
1055,Michigan State,4.7,2014
1056,MidAmerica Nazarene University,2.0,2014
1057,Midland College,4.0,2014
1058,Midwestern State University,2.0,2014
1059,Milwaukee,2.0,2014
1060,Minnesota,2.0,2014
1061,Minnesota State University,6.0,2014
1062,Minot State University,2.0,2014
1063,Mississippi Delta Community College,2.0,2014
1064,Mississippi Gulf Coast Community College,2.0,2014
1065,Missouri,8.5,2014
1066,Missouri Southern State University,2.0,2014
1067,Monmouth,6.0,2014
1068,Monroe College,2.0,2014
1069,Morehead State,2.0,2014
1070,Morehouse College,2.7,2014
1071,Morgan State,6.5,2014
1072,Motlow State Community College,2.0,2014
1073,Mount St. Mary's,2.7,2014
1074,Murray State,2.0,2014
1075,NC State,3.0,2014
1076,NJIT,2.0,2014
1077,Navarro College,2.0,2014
1078,Nebraska,7.3,2014
1079,New Mexico,5.0,2014
1080,New Mexico Junior College,4.3,2014
1081,New Mexico Military Institute,2.0,2014
1082,New Orleans,2.0,2014
1083,New York University,2.0,2014
1084,Newberry College,2.7,2014
1085,Newman University,2.0,2014
1086,Nicholls State,2.0,2014
1087,Norfolk State,2.0,2014
1088,North Carolina A&T,4.0,2014
1089,North Carolina Central,6.0,2014
1090,North Dakota,2.0,2014
1091,North Florida,2.0,2014
1092,North Idaho College,2.0,2014
1093,Northeast Community College,2.0,2014
1094,Northeastern Junior College,2.0,2014
1095,Northeastern Oklahoma A&M College,2.0,2014
1096,Northern Arizona,2.0,2014
1097,Northern Colorado,4.3,2014
1098,Northern Oklahoma College-Tonkawa,2.0,2014
1099,Northwest Christian University,2.0,2014
1100,Northwest Florida State College,8.0,2014
1101,Northwest Kansas Technical College,4.5,2014
1102,Northwest Missouri State University,2.0,2014
1103,Northwest Nazarene University,6.0,2014
1104,Northwestern,3.0,2014
1105,Northwood University,2.0,2014
1106,Nyack College,2.0,2014
1107,Oakland,5.0,2014
1108,Odessa College,14.0,2014
1109,Ohio,8.7,2014
1110,Ohio State,5.4,2014
1111,Oklahoma,3.3,2014
1112,Oklahoma City University,2.0,2014
1113,Oklahoma State,2.7,2014
1114,Old Dominion,5.2,2014
1115,Ole Miss,4.0,2014
1116,Olivet Nazarene University,2.0,2014
1117,Omaha,2.0,2014
1118,Oral Roberts,2.3,2014
1119,Oregon,6.0,2014
1120,Ouachita Baptist University,4.0,2014
1121,Pace University,8.5,2014
1122,Pacific,2.0,2014
1123,Palm Beach Atlantic University,4.0,2014
1124,Palm Beach State College,2.0,2014
1125,Panola College,2.0,2014
1126,Parkland College,2.0,2014
1127,Pasadena City College,2.0,2014
1128,Pepperdine,2.7,2014
1129,Philander Smith College,2.0,2014
1130,Phoenix College,2.0,2014
1131,Point Loma Nazarene University,2.0,2014
1132,Portland State,3.0,2014
1133,Prairie View A&M,2.0,2014
1134,Purdue,2.0,2014
1135,Purdue University Calumet,2.0,2014
1136,Queens University of Charlotte,5.3,2014
1137,Ranger College,2.0,2014
1138,Redlands Community College,2.0,2014
1139,Rice,4.3,2014
1140,Richmond,3.0,2014
1141,Rider,2.0,2014
1142,Ripon College,2.3,2014
1143,Roanoke College,2.0,2014
1144,Robert Morris,3.0,2014
1145,Robert Morris University-Illinois,4.0,2014
1146,Rockhurst University,2.0,2014
1147,Rogers State University,4.0,2014
1148,Rollins College,4.0,2014
1149,Ryerson University,2.0,2014
1150,SMU,9.0,2014
1151,Sacred Heart,6.0,2014
1152,Saddleback College,2.5,2014
1153,Saginaw Valley State University,4.0,2014
1154,Saint Anselm College,2.0,2014
1155,Saint Leo University,2.3,2014
1156,Saint Martin's University,2.0,2014
1157,Saint Mary's,9.0,2014
1158,Salt Lake Community College,2.0,2014
1159,San Bernardino Valley College,2.5,2014
1160,San Jacinto College,2.0,2014
1161,San José State,2.0,2014
1162,Santa Fe College,4.0,2014
1163,Santa Rosa Junior College,2.0,2014
1164,Seattle,2.0,2014
1165,Seton Hall,2.5,2014
1166,Shelton State Community College,2.0,2014
1167,Shepherd Unviersity,2.0,2014
1168,Shorter University,8.5,2014
1169,Simon Fraser University,4.0,2014
1170,Slippery Rock University of Pennsylvania,2.0,2014
1171,Snow College,2.0,2014
1172,South Alabama,4.7,2014
1173,South Dakota,6.0,2014
1174,South Dakota State,2.7,2014
1175,South Florida,4.0,2014
1176,South Plains College,10.5,2014
1177,Southeast Missouri State,4.0,2014
1178,Southeastern Louisiana,10.0,2014
1179,Southeastern University,2.0,2014
1180,Southern,2.0,2014
1181,Southern Miss,2.0,2014
1182,Southern Wesleyan University,2.0,2014
1183,Southwest Tennessee Community College,4.0,2014
1184,St. Catharine College,3.3,2014
1185,St. Cloud State University,2.0,2014
1186,Stephen F. Austin,2.0,2014
1187,Stetson,2.0,2014
1188,Stony Brook,2.0,2014
1189,Syracuse,4.0,2014
1190,Tarleton State University,4.7,2014
1191,Temple,2.7,2014
1192,Tennessee,6.0,2014
1193,Tennessee State,4.0,2014
1194,Texas,4.0,2014
1195,Texas A&M,7.0,2014
1196,Texas A&M University-Commerce,2.0,2014
1197,Texas A&M University–Kingsville,2.0,2014
1198,Texas A&M–Corpus Christi,2.0,2014
1199,Texas Southern,11.8,2014
1200,Texas State,2.0,2014
1201,Texas Wesleyan University,2.3,2014
1202,Texas–Rio Grande Valley,6.3,2014
1203,The College of Idaho,2.0,2014
1204,The Master's College,3.7,2014
1205,Toledo,2.3,2014
1206,Towson,6.2,2014
1207,Trevecca Nazarene University,4.0,2014
1208,Trinity College,2.0,2014
1209,Trinity Valley Community College,4.0,2014
1210,Troy,2.3,2014
1211,Tulane,5.0,2014
1212,Tulsa,2.0,2014
1213,UAB,2.0,2014
1214,UC Davis,3.0,2014
1215,UCF,3.0,2014
1216,UIC,2.7,2014
1217,UMBC,4.0,2014
1218,UMass Lowell,2.0,2014
1219,UNC Asheville,2.3,2014
1220,UNCG,2.0,2014
1221,UNCW,6.0,2014
1222,UNLV,9.0,2014
1223,USC Upstate,2.0,2014
1224,UT Arlington,5.0,2014
1225,UT Martin,3.0,2014
1226,Union University,4.0,2014
1227,University of Alabama in Huntsville,2.0,2014
1228,University of Arkansas - Fort Smith,2.0,2014
1229,University of Arkansas – Fort Smith,2.0,2014
1230,University of Bridgeport,2.0,2014
1231,"University of California, San Diego",2.0,2014
1232,University of Central Missouri,4.0,2014
1233,University of Central Oklahoma,2.0,2014
1234,University of Charleston,8.0,2014
1235,University of Helsinki,2.0,2014
1236,University of Illinois at Springfield,2.0,2014
1237,University of Indianapolis,6.0,2014
1238,University of Jamestown,2.0,2014
1239,University of Maine at Presque Isle,2.0,2014
1240,University of Mary Washington,2.0,2014
1241,University of Missouri–St. Louis,2.0,2014
1242,University of Mobile,4.0,2014
1243,University of North Georgia,8.5,2014
1244,University of Pikeville,6.0,2014
1245,University of Pittsburgh at Johnstown,2.0,2014
1246,University of South Carolina Aiken,6.0,2014
1247,University of Southern Indiana,2.0,2014
1248,University of St. Francis,2.0,2014
1249,University of St. Thomas,2.0,2014
1250,University of Tampa,4.0,2014
1251,University of Texas At Dallas,2.0,2014
1252,University of Texas at Dallas,2.0,2014
1253,University of Toronto,2.0,2014
1254,University of West Alabama,2.0,2014
1255,University of West Florida,2.0,2014
1256,University of Wisconsin–Parkside,2.0,2014
1257,Utah State,2.0,2014
1258,Utah State University Eastern,6.0,2014
1259,Utah Valley,2.0,2014
1260,Valdosta State University,4.0,2014
1261,Valparaiso,4.0,2014
1262,Vanderbilt,2.0,2014
1263,Vermont,2.0,2014
1264,Virginia,3.0,2014
1265,Virginia Tech,5.3,2014
1266,Virginia Union University,2.0,2014
1267,Virginia Wesleyan College,2.0,2014
1268,Wagner,2.0,2014
1269,Wake Forest,2.0,2014
1270,Walsh University,2.0,2014
1271,Wasburn University,2.3,2014
1272,Washington State,2.7,2014
1273,Wayland Baptist University,2.0,2014
1274,Wesley College,2.0,2014
1275,West Chester University of Pennsylvania,2.0,2014
1276,West Liberty University,4.0,2014
1277,West Virginia University Institute of Technology,2.0,2014
1278,Western Nebraska Community College,2.0,2014
1279,Western New England University,2.0,2014
1280,Western Texas College,4.0,2014
1281,Western Washington University,3.0,2014
1282,Westmont College,2.0,2014
1283,Whitman College,4.0,2014
1284,Widener University,2.0,2014
1285,William & Mary,2.3,2014
1286,William Jewell College,2.0,2014
1287,William Penn University,2.0,2014
1288,Williston State College,4.3,2014
1289,Wingate University,2.0,2014
1290,Winona State University,2.0,2014
1291,Winston-Salem State University,6.7,2014
1292,Winthrop,4.0,2014
1293,Wofford,2.0,2014
1294,Wright State,2.0,2014
1295,Young Harris College,2.0,2014
1296,Youngstown State,2.0,2014
1297,Acadia University,2.0,2015
1298,Adelphi,2.5,2015
1299,Alabama,8.3,2015
1300,Alabama–Huntsville,2.0,2015
1301,Alaska Anchorage,2.0,2015
1302,Albany State,4.0,2015
1303,Alcorn State,2.0,2015
1304,Angelo State,4.0,2015
1305,Appalachian State,6.0,2015
1306,Arizona,2.0,2015
1307,Arizona Christian University,2.3,2015
1308,Arizona State,5.3,2015
1309,Arizona Western College,2.3,2015
1310,Arkansas,6.0,2015
1311,Arkansas Tech,8.7,2015
1312,Arkansas–Fort Smith,8.0,2015
1313,Arkansas–Monticello,6.0,2015
1314,Armstrong State,4.0,2015
1315,Asbury University,2.0,2015
1316,Auburn,3.3,2015
1317,Augusta,2.0,2015
1318,Austin Community College,2.0,2015
1319,Azusa Pacific,2.0,2015
1320,Ball State,4.0,2015
1321,Barry,6.0,2015
1322,Baylor,2.0,2015
1323,Bemidji State,2.0,2015
1324,Berry College,2.0,2015
1325,Bethune–Cookman,2.0,2015
1326,Binghamton,2.0,2015
1327,Biola University,2.0,2015
1328,Blinn College,4.7,2015
1329,Bloomfield,2.0,2015
1330,Bloomsburg,2.0,2015
1331,Boise State,4.7,2015
1332,Boston College,2.7,2015
1333,Bowie State,4.5,2015
1334,Bradley,3.0,2015
1335,Brevard,2.0,2015
1336,Bridgeport,4.0,2015
1337,Brigham Young,2.0,2015
1338,Broward College,2.0,2015
1339,Buffalo,3.3,2015
1340,Butler,4.3,2015
1341,Cal Poly,3.0,2015
1342,Cal State Bakersfield,3.0,2015
1343,Cal State East Bay,7.0,2015
1344,Cal State Los Angeles,6.7,2015
1345,Cal State Northridge,17.2,2015
1346,Cal State San Bernardino,7.3,2015
1347,Cal State San Marcos,6.0,2015
1348,Caldwell,2.0,2015
1349,California,2.0,2015
1350,California (PA),2.0,2015
1351,California Baptist,4.0,2015
1352,Cameron,2.0,2015
1353,Campbellsville University,4.0,2015
1354,Canisius,2.0,2015
1355,Carleton University,4.5,2015
1356,Carson–Newman,2.0,2015
1357,Casper College,2.0,2015
1358,Cedarville,2.0,2015
1359,Central Methodist University,2.0,2015
1360,Central Michigan,2.0,2015
1361,Central Missouri,8.0,2015
1362,Central Oklahoma,2.0,2015
1363,Central State,2.0,2015
1364,Chaminade,4.0,2015
1365,Charleston,4.0,2015
1366,Charleston Southern,4.0,2015
1367,Charlotte,6.3,2015
1368,Chattanooga,2.0,2015
1369,Chestnut Hill,2.0,2015
1370,Cheyney,2.0,2015
1371,Chicago State,2.0,2015
1372,Chipola College,7.3,2015
1373,Christian Brothers,2.0,2015
1374,Cincinnati,4.0,2015
1375,City College of San Francisco,4.3,2015
1376,Claflin,2.0,2015
1377,Clarion,4.0,2015
1378,Clark College,4.0,2015
1379,Clayton State,4.0,2015
1380,Clemson,5.7,2015
1381,Cleveland State,2.0,2015
1382,College of Central Florida,2.0,2015
1383,College of Charleston,2.0,2015
1384,College of Idaho,2.0,2015
1385,College of Southern Idaho,5.0,2015
1386,College of the Sequoias,2.0,2015
1387,Colorado,2.0,2015
1388,Colorado Christian,2.0,2015
1389,Colorado Colorado Springs,2.0,2015
1390,Colorado Mesa,2.0,2015
1391,Colorado State–Pueblo,2.0,2015
1392,Columbia State Community College,4.3,2015
1393,Community College of Beaver County,2.0,2015
1394,Connecticut,9.0,2015
1395,Connors State College,2.0,2015
1396,Coppin State,5.0,2015
1397,Creighton,3.0,2015
1398,Dalton State College,2.7,2015
1399,Davidson,2.0,2015
1400,Dayton,3.7,2015
1401,Daytona State College,2.0,2015
1402,Delaware,2.0,2015
1403,Delta State,2.0,2015
1404,Des Moines Area Community College,4.0,2015
1405,Diablo Valley College,2.3,2015
1406,District of Columbia,2.0,2015
1407,Dixie State,4.0,2015
1408,Dodge City Community College,4.0,2015
1409,Drexel,3.0,2015
1410,Duquesne,2.7,2015
1411,ETSU,13.4,2015
1412,Eastern Florida State College,2.3,2015
1413,Eastern Illinois,2.0,2015
1414,Eastern Kentucky,2.0,2015
1415,Eastern Michigan,4.5,2015
1416,Eastern Oregon University,2.0,2015
1417,Eastern Washington,8.8,2015
1418,Eastfield College,2.0,2015
1419,"Embry-Riddle Aeronautical University, Prescott",2.0,2015
1420,Embry–Riddle,5.0,2015
1421,Emporia State,6.0,2015
1422,Evansville,2.0,2015
1423,Fairfield,2.0,2015
1424,Fairmont State,4.0,2015
1425,Fayetteville State,2.0,2015
1426,Flagler,2.0,2015
1427,Florida,3.0,2015
1428,Florida Atlantic,4.7,2015
1429,Florida Gulf Coast,7.9,2015
1430,Florida Southern,2.0,2015
1431,Florida State College at Jacksonville,2.0,2015
1432,Frank Phillips College,2.0,2015
1433,Fresno Pacific,4.0,2015
1434,Fresno State,8.0,2015
1435,Fullerton College,6.0,2015
1436,GCU,10.7,2015
1437,Gannon,4.0,2015
1438,Garden City Community College,2.3,2015
1439,George Washington,5.3,2015
1440,Georgetown College,7.0,2015
1441,Georgia Southern,4.0,2015
1442,Georgia Southwestern,12.0,2015
1443,Georgia State,6.3,2015
1444,Georgia Tech,4.3,2015
1445,Glenville State,6.0,2015
1446,Gonzaga,10.3,2015
1447,Gordon State College,2.0,2015
1448,Green Bay,4.0,2015
1449,Gwynedd Mercy University,2.0,2015
1450,Hartford,2.0,2015
1451,Hawaii,4.3,2015
1452,Hawaii Pacific,4.0,2015
1453,Henderson State,6.0,2015
1454,Hill College,2.0,2015
1455,Hillsdale,2.0,2015
1456,Hofstra,4.0,2015
1457,Holmes Community College,2.0,2015
1458,Holy Names,2.0,2015
1459,Houston,3.0,2015
1460,Houston Baptist,2.0,2015
1461,Howard College,4.0,2015
1462,Huntington University,2.0,2015
1463,Huston–Tillotson University,2.0,2015
1464,Hutchinson Community College,2.0,2015
1465,IUPUI,3.3,2015
1466,Idaho,2.0,2015
1467,Illinois,4.3,2015
1468,Illinois State,2.0,2015
1469,Indian Hills Community College,9.7,2015
1470,Indiana,6.0,2015
1471,Indiana (PA),4.0,2015
1472,Indiana Wesleyan University,2.3,2015
1473,Indianapolis,8.3,2015
1474,Iona,7.0,2015
1475,Iowa State,7.0,2015
1476,Iowa Western Community College,4.0,2015
1477,Irvine Valley College,2.0,2015
1478,Jackson State,2.0,2015
1479,Jacksonville,2.0,2015
1480,Jacksonville State,6.0,2015
1481,James Madison,2.0,2015
1482,Jarvis Christian College,2.0,2015
1483,Jefferson,2.0,2015
1484,John A. Logan College,4.0,2015
1485,John Brown University,4.0,2015
1486,Jones County Junior College,2.7,2015
1487,Kansas,3.0,2015
1488,Kaskaskia College,2.0,2015
1489,Kennesaw State,2.0,2015
1490,Kent State,4.0,2015
1491,Kentucky State,2.0,2015
1492,Kentucky Wesleyan,9.0,2015
1493,Kilgore College,2.0,2015
1494,King,2.5,2015
1495,Kirkwood Community College,4.0,2015
1496,Kutztown,2.0,2015
1497,LIU Post,2.0,2015
1498,LSU,4.0,2015
1499,La Salle,11.4,2015
1500,Lake Superior State,2.0,2015
1501,Lamar State College-Port Arthur,2.0,2015
1502,Lamar State College–Port Arthur,2.0,2015
1503,Lander,2.0,2015
1504,Lawson State Community College,8.0,2015
1505,LeTourneau University,2.0,2015
1506,Lee,4.0,2015
1507,Lees–McRae,2.0,2015
1508,Lenoir–Rhyne,2.0,2015
1509,Lewis,2.0,2015
1510,Lewis–Clark State College,2.0,2015
1511,Liberty,5.3,2015
1512,Life University,2.0,2015
1513,Limestone,4.0,2015
1514,Lincoln (MO),2.0,2015
1515,Lindenwood,6.0,2015
1516,Lindenwood University – Belleville,4.0,2015
1517,Lindenwood University–Belleville,2.0,2015
1518,Lipscomb,4.0,2015
1519,Little Rock,12.4,2015
1520,Lock Haven,2.0,2015
1521,Long Beach State,2.5,2015
1522,Louisburg College,2.0,2015
1523,Louisiana,2.0,2015
1524,Louisiana State University at Alexandria,2.0,2015
1525,Louisiana State University in Shreveport,2.3,2015
1526,Louisiana Tech,3.3,2015
1527,Louisville,7.1,2015
1528,Loyola Chicago,3.3,2015
1529,Loyola University New Orleans,2.0,2015
1530,Lubbock Christian,2.0,2015
1531,Luther College,2.0,2015
1532,Lynn,6.0,2015
1533,Maine,2.0,2015
1534,Malone,2.0,2015
1535,Manhattan,2.3,2015
1536,Marquette,2.0,2015
1537,Marshall,2.0,2015
1538,Martin Methodist College,4.0,2015
1539,Maryland,5.0,2015
1540,Marymount University,2.0,2015
1541,Massachusetts,6.0,2015
1542,Memphis,2.3,2015
1543,Mercy,2.0,2015
1544,Mercyhurst,4.3,2015
1545,Metro State,4.0,2015
1546,Miami,3.0,2015
1547,Miami (OH),4.5,2015
1548,Mid-America Christian University,2.0,2015
1549,MidAmerica Nazarene University,4.0,2015
1550,Middle Tennessee,2.7,2015
1551,Midland College,6.0,2015
1552,Midwestern State,6.0,2015
1553,Miles,4.0,2015
1554,Milligan College,2.0,2015
1555,Milwaukee,2.5,2015
1556,Mineral Area College,2.0,2015
1557,Minnesota,4.7,2015
1558,Minnesota State,8.3,2015
1559,Mississippi College,2.7,2015
1560,Mississippi Gulf Coast Community College,2.0,2015
1561,Mississippi State,2.0,2015
1562,Mississippi Valley State,2.0,2015
1563,Missouri,2.0,2015
1564,Missouri Baptist University,2.0,2015
1565,Missouri Southern,4.0,2015
1566,Missouri–St. Louis,2.0,2015
1567,Montana,3.3,2015
1568,Montevallo,2.0,2015
1569,Montreat College,2.0,2015
1570,Mott Community College,2.0,2015
1571,Mount St. Mary's,2.0,2015
1572,Murray State,5.3,2015
1573,NC State,2.3,2015
1574,NJIT,2.0,2015
1575,Navarro College,3.0,2015
1576,Nebraska,6.0,2015
1577,Nevada,9.3,2015
1578,New Hampshire,2.0,2015
1579,New Mexico,2.0,2015
1580,New Mexico Junior College,2.0,2015
1581,New Mexico Military Institute,2.0,2015
1582,New York University,2.0,2015
1583,Newman,6.7,2015
1584,Niagara,4.7,2015
1585,Nicholls State,5.0,2015
1586,Norfolk State,6.7,2015
1587,North Alabama,2.0,2015
1588,North Carolina A&T,2.0,2015
1589,North Carolina Central,4.0,2015
1590,North Carolina Wesleyan College,2.0,2015
1591,North Dakota,2.0,2015
1592,North Georgia,2.0,2015
1593,North Greenville,2.5,2015
1594,North Idaho College,2.0,2015
1595,North Platte Community College,2.0,2015
1596,North Texas,3.0,2015
1597,Northeastern State,2.0,2015
1598,Northern Colorado,4.0,2015
1599,Northern Kentucky,2.7,2015
1600,Northwest Florida State College,7.0,2015
1601,Northwest Mississippi Community College,5.0,2015
1602,Northwest Nazarene,2.0,2015
1603,Northwestern,2.0,2015
1604,Northwood,2.0,2015
1605,Northwood University,2.0,2015
1606,Nova Southeastern,6.0,2015
1607,Oakland,5.7,2015
1608,Oakland City,2.0,2015
1609,Odessa College,11.3,2015
1610,Oklahoma Baptist,2.0,2015
1611,Oklahoma City University,2.3,2015
1612,Oklahoma State,2.0,2015
1613,Old Dominion,9.0,2015
1614,Ole Miss,6.0,2015
1615,Omaha,2.0,2015
1616,Oregon,2.3,2015
1617,Otero Junior College,2.0,2015
1618,Our Lady of the Lake University,4.3,2015
1619,Pacific,2.7,2015
1620,Palm Beach Atlantic,4.0,2015
1621,Palm Beach State College,6.7,2015
1622,Panola College,9.0,2015
1623,Paris Junior College,5.3,2015
1624,Penn,2.0,2015
1625,Penn State,3.0,2015
1626,Pensacola State College,7.0,2015
1627,Peru State College,2.0,2015
1628,Philander Smith College,2.7,2015
1629,Pitt Community College,2.0,2015
1630,Pittsburg State,2.0,2015
1631,Pittsburgh,6.7,2015
1632,Point Loma Nazarene,4.7,2015
1633,Polk State College,4.0,2015
1634,Portland State,4.3,2015
1635,Pratt Community College,5.3,2015
1636,"Presentation College, South Dakota",2.0,2015
1637,Providence,2.0,2015
1638,Purdue,2.0,2015
1639,Purdue Fort Wayne,6.7,2015
1640,Queens (NC),2.0,2015
1641,Quincy,4.0,2015
1642,Quinnipiac,2.0,2015
1643,Radford,2.0,2015
1644,Rhode Island,10.0,2015
1645,Robert Morris University Illinois,4.0,2015
1646,Rockhurst,2.0,2015
