,new team,stars,year
194,Mississippi College,2.0,2012
195,Mississippi Gulf Coast Community College,2.0,2012
196,Missouri,7.7,2012
197,Monmouth,2.3,2012
198,Monroe Community College,3.3,2012
199,Montana State,2.0,2012
200,Montana State University-Billings,4.0,2012
201,Morehead State,6.5,2012
202,Mount Vernon Nazarene University,2.0,2012
203,NC State,3.3,2012
204,NJIT,2.0,2012
205,Nebraska,5.4,2012
206,Nebraska (Track & Field),2.0,2012
207,Nevada,2.5,2012
208,New Hope Christian College,3.0,2012
209,New Mexico,2.3,2012
210,New Mexico Junior College,3.0,2012
211,Niagara,4.0,2012
212,Norfolk State,4.0,2012
213,North Dakota,4.0,2012
214,North Georgia College & State University,4.0,2012
215,North Greenville University,2.0,2012
216,North Idaho College,2.0,2012
217,Northeast Mississippi Community College,2.0,2012
218,Northeastern,2.0,2012
219,Northeastern Junior College,4.0,2012
220,Northern Arizona,2.0,2012
221,Northern Illinois,2.0,2012
222,Northern Iowa,2.3,2012
223,Northern Kentucky,4.0,2012
224,Northern Michigan University,2.0,2012
225,Northern Nazarene University,2.0,2012
226,Northwest Florida State College,6.3,2012
227,Northwestern,3.5,2012
228,Northwood University,2.0,2012
229,Nova Southeastern University,4.0,2012
230,Oakland,6.0,2012
231,Ohio,7.7,2012
232,Oklahoma,2.7,2012
233,Oklahoma City University,2.0,2012
234,Old Dominion,3.5,2012
235,Omaha,2.0,2012
236,Oregon,3.5,2012
237,Otero Junior College,4.0,2012
238,Our Lady of the Lake University,2.0,2012
239,Paul Quinn College,2.0,2012
240,Pearl River Community College,2.0,2012
241,Peninsula College,2.0,2012
242,Penn,2.3,2012
243,Pensacola State College,2.0,2012
244,Pepperdine,4.0,2012
245,Philadelphia University,2.3,2012
246,Pittsburgh,4.0,2012
247,Point Loma Nazarene University,4.0,2012
248,Portland State,2.0,2012
249,Prairie View A&M,2.0,2012
250,Providence,7.3,2012
251,Quincy University,2.0,2012
252,Rhode Island,9.0,2012
253,Rider,3.0,2012
254,Robert Morris,2.0,2012
255,Rogers State University,4.5,2012
256,Rollins College,4.0,2012
257,Roosevelt University,2.0,2012
258,SIUE,4.3,2012
259,SMU,14.7,2012
260,Sacramento State,2.7,2012
261,Saint Louis,2.5,2012
262,Saint Mary's,3.0,2012
263,Salt Lake Community College,4.0,2012
264,Samford,2.0,2012
265,San Bernardino Valley College,2.0,2012
266,San Diego State,2.0,2012
267,San Francisco,4.8,2012
268,San Jacinto Colege,2.0,2012
269,San Jose City College,2.0,2012
270,Sauk Valley Community College,2.0,2012
271,Seattle,4.7,2012
272,Seattle Pacific University,2.0,2012
273,Seton Hall,5.0,2012
274,Seton Hill University,2.0,2012
275,Seward County Community College,2.0,2012
276,Simon Fraser University,2.0,2012
277,Simpson College,2.0,2012
278,Sonoma State University,2.0,2012
279,South Alabama,4.5,2012
280,South Carolina,2.5,2012
281,South Dakota,4.0,2012
282,South Florida,4.5,2012
283,South Plains College,2.3,2012
284,South Texas College,2.0,2012
285,Southeast Missouri State,5.7,2012
286,Southern,9.0,2012
287,Southern Miss,10.6,2012
288,Southern University of New Orleans,2.0,2012
289,Southwest Mississippi Community College,4.0,2012
290,Southwest Tennessee Community College,3.0,2012
291,Southwestern Illinois College,2.0,2012
292,Spartanburg Methodist College,2.0,2012
293,Spring Hill College,2.0,2012
294,St. Anselm College,2.0,2012
295,St. Augustine's University,6.0,2012
296,St. Cloud State University,2.0,2012
297,St. Edward's University,2.0,2012
298,St. John's,2.0,2012
299,St. Joseph's College,2.0,2012
300,St. Leo University,2.0,2012
301,St. Mary's University,2.0,2012
302,St. Peter's,7.0,2012
303,Stetson,2.0,2012
304,Syracuse,4.0,2012
305,TCU,3.0,2012
306,Tarleton State University,2.0,2012
307,Temple,2.0,2012
308,Temple College,2.0,2012
309,Tennessee State,2.0,2012
310,Tennessee Tech,4.3,2012
311,Tennessee Temple University,2.0,2012
312,Texas A&M,4.0,2012
313,Texas A&M - Commerce,2.0,2012
314,Texas Tech,2.3,2012
315,Texas Wesleyan University,2.0,2012
316,Toledo,5.0,2012
317,Towson,5.0,2012
318,Trinidad State Junior College,2.0,2012
