,teamName,stars,year
215,North Greenville University,2,2013
216,North Idaho College,2,2013
217,Northeast Mississippi Community College,2,2013
218,Northeastern,2,2013
219,Northeastern Junior College,4,2013
220,Northern Arizona,2,2013
221,Northern Illinois,2,2013
222,Northern Iowa,2.3,2013
223,Northern Kentucky,4,2013
224,Northern Michigan University,2,2013
225,Northern Nazarene University,2,2013
226,Northwest Florida State College,6.3,2013
227,Northwestern,3.5,2013
228,Northwood University,2,2013
229,Nova Southeastern University,4,2013
230,Oakland,6,2013
231,Ohio,7.7,2013
232,Oklahoma,2.7,2013
233,Oklahoma City University,2,2013
234,Old Dominion,3.5,2013
235,Omaha,2,2013
236,Oregon,3.5,2013
237,Otero Junior College,4,2013
238,Our Lady of the Lake University,2,2013
239,Paul Quinn College,2,2013
240,Pearl River Community College,2,2013
241,Peninsula College,2,2013
242,Penn,2.3,2013
243,Pensacola State College,2,2013
244,Pepperdine,4,2013
245,Philadelphia University,2.3,2013
246,Pittsburgh,4,2013
247,Point Loma Nazarene University,4,2013
248,Portland State,2,2013
249,Prairie View A&M,2,2013
250,Providence,7.3,2013
251,Quincy University,2,2013
252,Rhode Island,9,2013
253,Rider,3,2013
254,Robert Morris,2,2013
255,Rogers State University,4.5,2013
256,Rollins College,4,2013
257,Roosevelt University,2,2013
258,SIUE,4.3,2013
259,SMU,14.7,2013
260,Sacramento State,2.7,2013
261,Saint Louis,2.5,2013
262,Saint Mary's,3,2013
263,Salt Lake Community College,4,2013
264,Samford,2,2013
265,San Bernardino Valley College,2,2013
266,San Diego State,2,2013
267,San Francisco,4.8,2013
268,San Jacinto Colege,2,2013
269,San Jose City College,2,2013
270,Sauk Valley Community College,2,2013
271,Seattle,4.7,2013
272,Seattle Pacific University,2,2013
273,Seton Hall,5,2013
274,Seton Hill University,2,2013
275,Seward County Community College,2,2013
276,Simon Fraser University,2,2013
277,Simpson College,2,2013
278,Sonoma State University,2,2013
279,South Alabama,4.5,2013
280,South Carolina,2.5,2013
281,South Dakota,4,2013
282,South Florida,4.5,2013
283,South Plains College,2.3,2013
284,South Texas College,2,2013
285,Southeast Missouri State,5.7,2013
286,Southern,9,2013
287,Southern Miss,10.6,2013
288,Southern University of New Orleans,2,2013
289,Southwest Mississippi Community College,4,2013
290,Southwest Tennessee Community College,3,2013
291,Southwestern Illinois College,2,2013
292,Spartanburg Methodist College,2,2013
293,Spring Hill College,2,2013
294,St. Anselm College,2,2013
295,St. Augustine's University,6,2013
296,St. Cloud State University,2,2013
297,St. Edward's University,2,2013
298,St. John's,2,2013
299,St. Joseph's College,2,2013
300,St. Leo University,2,2013
301,St. Mary's University,2,2013
302,St. Peter's,7,2013
303,Stetson,2,2013
304,Syracuse,4,2013
305,TCU,3,2013
306,Tarleton State University,2,2013
307,Temple,2,2013
308,Temple College,2,2013
309,Tennessee State,2,2013
310,Tennessee Tech,4.3,2013
311,Tennessee Temple University,2,2013
312,Texas A&M,4,2013
313,Texas A&M - Commerce,2,2013
314,Texas Tech,2.3,2013
315,Texas Wesleyan University,2,2013
316,Toledo,5,2013
317,Towson,5,2013
318,Trinidad State Junior College,2,2013
319,Trinity Valley Community College,2,2013
320,Triton College,2,2013
321,Tulsa,2,2013
322,Tyler Junior College,2.3,2013
323,UAB,2,2013
324,UC Davis,4.5,2013
325,UC Irvine,3,2013
326,UIC,7.5,2013
327,UMass-Lowell,2,2013
328,UNCG,6.3,2013
329,UNCW,3,2013
330,UNLV,4,2013
331,USC,7,2013
332,USC-Aiken,12,2013
333,UT Arlington,2.5,2013
334,UTEP,2.5,2013
335,UTSA,2.5,2013
336,University of Arkansas-Fort Smith,4.3,2013
337,University of Bridgeport,4,2013
338,University of Central Oklahoma,2,2013
339,University of Chicago,2,2013
340,University of La Verne,2,2013
341,University of Mary,2,2013
342,University of Mobile,2,2013
343,University of North Alabama,6,2013
344,University of Pikeville,4.3,2013
345,University of Sioux Falls,2,2013
346,University of St. Thomas,2,2013
347,University of Texas the Permain Basin,2,2013
348,University of West Alabama,2,2013
349,University of West Florida,4,2013
350,University of Wisconsin-La Crosse,2,2013
351,University of Wisconsin-Stevens Point,2,2013
352,University of the District of Columbia,4,2013
353,Upper Iowa University,2,2013
354,Urbana University,2.5,2013
355,Utah,4,2013
356,Utah State,2,2013
357,Utah Valley,2,2013
358,Valdosta State University,4,2013
359,Valparaiso,5.6,2013
360,Vanderbilt,2,2013
361,Vermont,6.8,2013
362,Villanova,5.3,2013
363,Vincennes University,2,2013
364,Virginia,3.7,2013
365,Virginia State University,6,2013
366,Virginia Tech,2.3,2013
367,Volunteer State Community College,2,2013
368,Wabash Valley College,2,2013
369,Wagner,2.7,2013
370,Walla Walla Community College,2,2013
371,Walsh University,4,2013
372,Washington,4,2013
373,Washington State,5.7,2013
374,Wayne State University,2,2013
375,West Chester University,2,2013
376,West Virginia,3.5,2013
377,Western Nebraska Community College,2.7,2013
378,Western Oregon University,2,2013
379,Western State Colorado University,2,2013
380,Wichita State,2,2013
381,Williams College,2,2013
382,Wingate Universty,2,2013
383,Wyoming,3.7,2013
384,Xavier,2,2013
385,Xavier University of Louisiana,2,2013
386,Adelphi University,2,2014
387,Alabama,4.3,2014
388,Albany State University,2,2014
389,Alcorn State,3,2014
390,Alderson-Broaddus College,2,2014
391,Allan Hancock College,2,2014
392,American,4.7,2014
393,Angelina College,2,2014
394,Appalachian State,3,2014
395,Arizona,3,2014
396,Arizona State,5,2014
397,Arizona Western College,2.7,2014
398,Arkansas,3,2014
399,Arkansas State,8.1,2014
400,Arkansas Tech University,2,2014
401,Asa College,3,2014
402,Ashland University,2,2014
403,Azusa Pacific University,2,2014
404,Barry University,6,2014
405,Barton County Community College,2,2014
406,Baton Rouge Community College,2,2014
407,Baylor,2,2014
408,Bellarmine University,4.7,2014
409,Belmont,2.7,2014
410,Benedict College,2,2014
411,Benedictine University,2,2014
412,Bethel University,2,2014
413,Blinn College,6,2014
414,Bob Jones University,2,2014
415,Boston University,5.3,2014
416,Bowie State University,4,2014
417,Bradley,4,2014
418,Brigham Young,3,2014
419,Brunswick Community College,2,2014
420,Bryant,2,2014
421,Buffalo,4.8,2014
422,Cal Poly Pomona,2,2014
423,Cal State Bakersfield,2,2014
424,Cal State Dominquez Hills,2,2014
425,Cal State Fullerton,5,2014
426,Cal State Los Angeles,6,2014
427,Cal State Northridge,14,2014
428,Cal State San Bernardino,2,2014
429,California Baptist University,2,2014
430,"California State University, San Bernardino",4.3,2014
431,"California State University, San Marcos",6.3,2014
432,California State University-East Bay,2,2014
433,California University of Pennsylvania,2,2014
434,Cameron University,6,2014
435,Campbell,5,2014
436,Campbellsville University,4,2014
437,Canisius,3,2014
438,Cape Fear Community College,2,2014
439,Carson–Newman University,2,2014
440,Case Western Reserve University,2,2014
441,Casper College,2,2014
442,Central Arizona College,4,2014
443,Central Washington University,2,2014
444,Chaminade University,8,2014
445,Charlotte,10,2014
446,Chattanooga,2.7,2014
447,Chicago State,2,2014
448,Christopher Newport University,2,2014
449,Citrus College,2.3,2014
450,City College of San Francisco,4,2014
451,Clark Atlanta University,2,2014
452,Clark Community College,2,2014
453,Cleveland State,4.3,2014
454,Cloud County Community College,4,2014
455,Coastal Carolina,6.7,2014
456,Coffeyville Community College,2,2014
457,Coker College,2,2014
458,College of Central Florida,3,2014
459,College of Southern Idaho,4,2014
460,College of the Canyons,2,2014
461,Colorado State,6.7,2014
462,Colorado State University-Pueblo,2,2014
463,Columbia State Community College,2,2014
464,Columbus State Community College,2,2014
465,Columbus State University,2,2014
466,Concordia University Wisconsin,2,2014
467,"Concordia University, St. Paul",2.5,2014
468,Connecticut,6.7,2014
469,Connors State College,2,2014
470,Daytona State College,2,2014
471,DePaul,6.5,2014
472,DePauw University,2,2014
473,Delaware,2,2014
474,Delaware State,2,2014
475,Delta State University,2,2014
476,Detroit Mercy,2.3,2014
477,Dixie State University,4,2014
478,Drake,2.3,2014
479,Drexel,2.3,2014
480,Duquesne,2,2014
481,East Carolina,5.7,2014
482,East Central University,4,2014
483,East Georgia State College,3,2014
484,East Mississippi Community College,6.7,2014
485,East Stroudsburg University,2,2014
486,Eastern Illinois,4.7,2014
487,Eastern Michigan,2.7,2014
488,Eastern New Mexico University,2,2014
489,Eastern Oregon University,2,2014
490,Elizabeth City State College,2,2014
491,Elizabeth City State University,2,2014
492,Emmanuel College,2,2014
493,Emporia State University,2,2014
494,Evansville,2.7,2014
495,Fair State Community College,2.3,2014
496,Fairfield,3.7,2014
497,Fairleigh Dickinson,2.5,2014
498,Fairmont State University,6,2014
499,Ferris State University,2,2014
500,Flagler College,4,2014
501,Florida,2.7,2014
502,Florida Gulf Coast,9.3,2014
503,Florida International,5,2014
504,Florida Southern College,2,2014
505,Fort Hays State University,2,2014
506,Fort Lewis College,2,2014
507,Fort Valley State University,2,2014
508,Francis Marion University,8,2014
509,Frank Phillips College,2,2014
510,Fresno Pacific University,6,2014
511,Fresno State,4,2014
512,Full-Time Hoops,2,2014
513,Furman,4,2014
514,GCU,8.6,2014
515,Gannon University,2,2014
516,Gardner–Webb,4,2014
517,Garrett College,2,2014
518,George Mason,3.7,2014
519,George Washington,6,2014
520,Georgetown,4.3,2014
521,Georgetown College,4,2014
522,Georgia Perimeter College,2,2014
523,Georgia Southern,2.3,2014
524,Georgia Southwestern State University,2,2014
525,Georgia State,4.7,2014
526,Georgia Tech,6,2014
527,Georgian Court University,4,2014
528,Goldey-Beacom College,4,2014
529,Gonzaga,8,2014
530,Grace College,2,2014
531,Grambling State,4,2014
532,Green Bay,2.3,2014
533,Hampton,2,2014
534,Harding University,4,2014
535,Hartford,2,2014
536,Hawai'l Pacific University,2,2014
537,Hawaii,2.7,2014
538,Henderson State University,2,2014
539,High Point,2.7,2014
540,Hillsdale College,2,2014
541,Hofstra,10.3,2014
542,Holy Family University,2,2014
543,Houston,6,2014
544,Houston Baptist,2,2014
545,Howard College,2,2014
546,Humboldt State University,2,2014
547,IUPUI,6,2014
548,Idaho,2,2014
549,Illinois,9.7,2014
550,Illinois Wesleyan University,5.3,2014
551,Incarnate Word,2,2014
552,Independence Community College,2,2014
553,Indian Hills Community College,4,2014
554,Indiana,2.5,2014
555,Indiana University of Pennsylvania,2.3,2014
556,Indiana Wesleyan University,2,2014
557,Iona,6.7,2014
558,Iowa State,5.7,2014
559,Iowa Western Community College,2,2014
560,Itawamba Community College,2.5,2014
561,Jackson State,2,2014
562,Jacksonville,3.7,2014
563,Jacksonville State,2,2014
564,John A. Logan College,2,2014
565,Jones County Community College,2,2014
566,Kansas,8,2014
567,Kansas City,4,2014
568,Kansas State,5,2014
569,Kennesaw State,2.5,2014
570,Kent State,2,2014
571,Kentucky Wesleyan College,5,2014
572,Kilgore Junior College,2,2014
573,King University,2,2014
574,Kirkwood Community College,2,2014
575,LSU,2,2014
576,La Salle,6.7,2014
577,Lake Forest College,2,2014
578,Lake Land College,2,2014
579,Lander University,2,2014
580,Laramie County Community College,2,2014
581,LeMoyne-Owen College,2,2014
582,Lee College,6.3,2014
583,Lehigh,4,2014
584,Lenior-Rhyne University,2,2014
585,Lincoln Trail College,2.3,2014
586,Lindenwood University,2,2014
587,Livingstone College,2,2014
588,Long Beach State,4,2014
589,Long Island University-Post,10.3,2014
590,Longwood,4,2014
591,Louisburg College,2,2014
592,Louisiana State University in Shreveport,6,2014
593,Louisiana Tech,2.3,2014
594,Loyola Chicago,2.5,2014
595,Loyola Marymount,2,2014
596,Lubbock Christian University,4,2014
597,Lynn University,6,2014
598,Malone University,2,2014
599,Maryland,2.7,2014
600,Marymount Universty,2,2014
601,Massachusetts,4,2014
602,McLennan Community College,2,2014
603,McMurry University,2,2014
604,McNeese State,2,2014
605,Memphis,5,2014
606,Mercyhurst University,4.5,2014
607,Merrimack College,2,2014
608,Merritt College,2.7,2014
609,Mesa Community College,2,2014
610,Messiah College,2,2014
611,Metro State University,4,2014
612,Miami,10.5,2014
613,Miami (OH),7.7,2014
614,Miami Dade College,2,2014
615,Midland College,4.7,2014
616,Millersville University,2,2014
617,Milwaukee,4,2014
618,Mineral Area College,2,2014
619,Minnesota,4,2014
620,Minnesota State University Moorhead,2,2014
621,Minot State University,2,2014
622,MiraCoste College,2,2014
623,Mississippi College,2,2014
624,Mississippi Gulf Coast Community College,2,2014
625,Missouri,8,2014
626,Missouri Southern State University,4,2014
627,Missouri State,2,2014
628,Moberly Area Community College,2,2014
629,Montana,4.7,2014
630,Montana State University Billings,4,2014
631,Morehead State,9.8,2014
632,Motlow State Community College,2,2014
633,Mount St. Mary's,2,2014
634,Mt. San Antonio College,2,2014
635,Murray State,5.7,2014
636,NC State,4.3,2014
637,Navarro College,2,2014
638,New Hampshire,2,2014
639,New Mexico Junior College,2.3,2014
640,New Mexico Military Institute,4.3,2014
641,New Orleans,4,2014
642,New York Institute of Technology,4,2014
643,Newberry College,2,2014
644,Newman University,2,2014
645,Niagara,4,2014
646,Norfolk State,4,2014
647,North Carolina Central,8.7,2014
648,North Dakota,4.7,2014
649,North Florida,2,2014
650,North Idaho College,2,2014
651,North Texas,5.2,2014
652,Northern Colorado,2,2014
653,Northern Illinois,8.3,2014
654,Northern Iowa,3.3,2014
655,Northern Kentucky,2,2014
656,Northern Michigan University,2,2014
657,Northwest Christian University,9,2014
658,Northwest Florida State College,11.7,2014
659,Northwood,2,2014
660,Northwood University (Michigan),5.3,2014
661,Northwood University (Texas),2,2014
662,Nova Southeastern University,4,2014
663,Odessa College,16.8,2014
664,Ohio,3.3,2014
665,Oklahoma Baptist University,2,2014
666,Old Dominion,2,2014
667,Omaha,2.3,2014
668,Oral Roberts,2,2014
669,Oregon,10.7,2014
670,Ouachita Baptist University,2,2014
671,Our Lady of the Lake University,2,2014
672,Pace University,4,2014
673,Paine College,2,2014
674,Palm Beach Atlantic University,2,2014
675,Palm Beach State College,2,2014
676,Paul Quinn College,2,2014
677,Penn State,7.8,2014
678,Pensacola State College,4,2014
679,Philadelphia University,2,2014
680,Phoenix College,2,2014
681,Pittsburgh,3,2014
682,Polk State College,2.3,2014
683,Portland,2,2014
684,Portland State,2,2014
685,Prince George's Community College,2,2014
686,Providence,3,2014
687,Purdue,4,2014
688,Purdue Fort Wayne,2,2014
689,Queens University of Charlotte,4,2014
690,Quinnipiac,2,2014
691,Rhode Island College,2,2014
692,Richmond,2,2014
693,Rider,6.3,2014
694,Riverside City College,4.3,2014
695,Robert Morris University-Illinois,2,2014
696,Rogers State University,2,2014
697,Rollins College,2,2014
698,Rutgers,6.4,2014
699,Rutgers University-Camden,2,2014
700,Ryerson University,3,2014
701,SIUE,2,2014
702,Saddleback College,4,2014
703,Saint Joseph's,3,2014
704,Saint Louis,3.3,2014
705,Saint Mary's,3.3,2014
706,San Diego,2,2014
707,San Diego State,8.5,2014
708,San Francisco,4.6,2014
709,San Jacinto College,2,2014
710,San José State,4,2014
711,Santa Barbara City College,2,2014
712,Santa Clara,2.5,2014
713,Santa Fe Community College,2,2014
714,Seattle,2.5,2014
715,Seattle Pacific University,4,2014
716,Shaw University,2,2014
717,Shelton State Community College,2,2014
718,Sheridan College,3,2014
719,Shorter University,6,2014
720,Siena,2,2014
721,Sinclair Community College,2,2014
722,Slippery Rock University of Pennsylvania,4,2014
723,Snead State Community College,2,2014
724,Sonoma State University,2,2014
725,South Carolina,4,2014
726,South Dakota State,3.7,2014
727,South Georgia Technical College,2,2014
728,South Plains College,4.5,2014
729,Southeast Missouri State,2.7,2014
730,Southeastern Oklahoma State University,2,2014
731,Southeastern University,2,2014
732,Southern,5.3,2014
733,Southern Illinois,2.3,2014
734,Southern Wesleyan University,2,2014
735,Southwest Baptist University,2,2014
736,Southwest Mississippi Community College,7,2014
737,Southwest Tennessee Community College,2,2014
738,Southwestern Illinois College,6,2014
739,Spring Hill College,2,2014
740,St. Catharine College,2,2014
741,St. Edward's University,2,2014
742,St. Edwards's University,2,2014
743,St. Mary's University,4,2014
744,St. Nobert College,2.3,2014
745,State College of Florida,2,2014
746,Stetson,4,2014
747,Stonehill College,2,2014
748,Sullivan County Community College,2,2014
749,TCU,7,2014
750,Tallahassee Community College,4.3,2014
751,Temple,3,2014
752,Tennessee,2.3,2014
753,Texas A&M - Kingsville,2,2014
754,Texas A&M International University,2,2014
755,Texas A&M–Corpus Christi,2,2014
756,Texas Southern,6.3,2014
757,Texas Wesleyan University,6,2014
758,Texas–Rio Grande Valley,11,2014
759,Three Rivers College,2,2014
760,Tiffin University,2,2014
761,Towson,3,2014
762,Trinity Valley Community College,4.3,2014
763,Troy,2,2014
764,Tufts University,2,2014
765,Tyler Junior College,2,2014
766,UAB,4,2014
767,UIC,2,2014
768,UMBC,2,2014
769,UNCW,5.5,2014
770,UNLV,2,2014
771,USC,12.3,2014
772,USC-Aiken,2,2014
773,UT Arlington,2,2014
774,UT Martin,2,2014
775,UTEP,2.5,2014
776,University of Alaska Anchorage,2,2014
777,University of Alaska Fairbanks,2,2014
778,University of Arkansas Fort Smith,3,2014
779,University of Arkansas at Monticello,2,2014
780,University of Central Missouri,2.5,2014
781,University of Central Oklahoma,2,2014
782,University of Charleston,2,2014
783,University of Findlay,2,2014
784,University of Illinois at Springfield,2,2014
785,University of Indianapolis,2,2014
786,University of Mobile,2,2014
787,University of Montevallo,2,2014
788,University of Pikeville,12.3,2014
789,University of Pittsburgh at Johnstown,2,2014
790,University of Saskatchewan,2,2014
791,University of Southern Indiana,2.3,2014
792,University of St. Thomas,2,2014
793,University of Toronto,2,2014
794,University of West Alabama,4,2014
795,University of West Florida,2.5,2014
796,University of Windsor,2,2014
797,University of Wisconsin-Parkside,2,2014
798,University of the Cumberlands,2,2014
799,Urbana University,2,2014
800,Utah State,2,2014
801,VCU,3.5,2014
802,Valdosta State University,4,2014
803,Valparaiso,7.7,2014
804,Vanguard University,4,2014
805,Virginia State University,4,2014
