,teamName,stars,year
926,Delgado Community College,2,2015
927,Detroit Mercy,5.7,2015
928,Diablo Valley College,4,2015
929,Dixie State University,2,2015
930,Dominican College,2,2015
931,Drake,5.7,2015
932,Drexel,4.3,2015
933,Duke,2,2015
934,Duquesne,3,2015
935,ETSU,5,2015
936,East Central Community College,2,2015
937,East Los Angeles College,2,2015
938,East Stroudsburg University of Pennsylvania,2,2015
939,Eastern Florida State College,7.9,2015
940,Eastern Kentucky,5,2015
941,Eastern Michigan,6.3,2015
942,Eastern Oregon University,2,2015
943,Elmhurst College,2,2015
944,Evansville,2,2015
945,Fairleigh Dickinson,6,2015
946,Fairmont State University,4,2015
947,Felician College,2,2015
948,Flagler College,2,2015
949,Florida,10.7,2015
950,Florida A&M,4,2015
951,Florida Atlantic,7,2015
952,Florida Gulf Coast,2.7,2015
953,Florida International,2,2015
954,Florida Southern College,4,2015
955,Fort Hays State University,4,2015
956,Fort Lewis College,2,2015
957,Furman,2.7,2015
958,GCU,6,2015
959,Gannon University,2,2015
960,Garden City Community College,2,2015
961,George Washington,3,2015
962,Georgetown College,9.3,2015
963,Georgia Highlands College,4,2015
964,Georgia Southwestern State University,6,2015
965,Georgia State,10,2015
966,Georgia Tech,13,2015
967,Glenville State College,4,2015
968,Goldey-Beacom College,2,2015
969,Gonzaga,5,2015
970,Guilford College,2,2015
971,Hampden-Sydney College,2,2015
972,Hampton,4.3,2015
973,Harcum College,7.7,2015
974,Hartford,6,2015
975,Hawaii,3,2015
976,Hawaii Pacific University,2.3,2015
977,Henderson State University,4,2015
978,Highline Community College,2,2015
979,Hill College,2,2015
980,Hofstra,2,2015
981,Holmes Community College,3,2015
982,Holy Family University,2,2015
983,Houston,4,2015
984,Houston Baptist,2.3,2015
985,Howard College,2.5,2015
986,Humboldt State University,2,2015
987,IUPUI,10.7,2015
988,Idaho,2,2015
989,Illinois,2,2015
990,Illinois State,2.7,2015
991,Incarnate Word,2,2015
992,Independence Community College,2,2015
993,Indian Hills Community College,6,2015
994,Indiana,2,2015
995,Indiana Institute of Technology,2,2015
996,Indiana State,2,2015
997,Indiana University of Pennsylvania,2,2015
998,Indiana Wesleyan University,2,2015
999,Iona,4,2015
1000,Iowa State,6.7,2015
1001,Iowa Western Community College,4,2015
1002,Jackson State,6,2015
1003,James Madison,2,2015
1004,Jarvis Christian College,2,2015
1005,John A. Logan College,2.5,2015
1006,Kansas City,2.3,2015
1007,Kansas City Kansas Community College,2,2015
1008,Kaskaskia College,6.5,2015
1009,Kennesaw State,5.3,2015
1010,Kent State,4,2015
1011,Kentucky Wesleyan College,11.6,2015
1012,Kilgore College,2,2015
1013,King University,2,2015
1014,Kutztown University of Pennsylvania,2,2015
1015,LIU,2,2015
1016,Langston University,2.3,2015
1017,Lee College,5.5,2015
1018,Lenoir–Rhyne University,2,2015
1019,Lewis-Clark State College,2,2015
1020,Liberty,5.7,2015
1021,Limestone College,2,2015
1022,Lincoln Trail College,2,2015
1023,Lincoln University,2,2015
1024,Lindenwood University,6,2015
1025,Lindenwood University – Belleville,2,2015
1026,Lindsey Wilson College,2,2015
1027,Lipscomb,2,2015
1028,Lock Haven University of Pennsylvania,2,2015
1029,Long Beach State,11.6,2015
1030,Long Island University-Post,4,2015
1031,Longwood,4,2015
1032,Louisburg College,4,2015
1033,Louisiana,3,2015
1034,Louisiana State University at Alexandria,8,2015
1035,Louisiana State University in Shreveport,4.3,2015
1036,Louisiana–Monroe,3,2015
1037,Loyola Marymount,5,2015
1038,Lynn University,2,2015
1039,Manhattan,4.7,2015
1040,Marquette,12.3,2015
1041,Marshall,2.5,2015
1042,Martin Methodist College,2,2015
1043,Maryland,6.3,2015
1044,Maryville University,2,2015
1045,McCook Community College,4,2015
1046,McLennan Community College,8,2015
1047,McMaster University,2,2015
1048,Memphis,6.3,2015
1049,Mercer,3,2015
1050,Merrimack College,2,2015
1051,Metropolitan State University of Denver,2,2015
1052,Miami,5,2015
1053,Miami (OH),2.7,2015
1054,Miami Dade College,3,2015
1055,Michigan State,4.7,2015
1056,MidAmerica Nazarene University,2,2015
1057,Midland College,4,2015
1058,Midwestern State University,2,2015
1059,Milwaukee,2,2015
1060,Minnesota,2,2015
1061,Minnesota State University,6,2015
1062,Minot State University,2,2015
1063,Mississippi Delta Community College,2,2015
1064,Mississippi Gulf Coast Community College,2,2015
1065,Missouri,8.5,2015
1066,Missouri Southern State University,2,2015
1067,Monmouth,6,2015
1068,Monroe College,2,2015
1069,Morehead State,2,2015
1070,Morehouse College,2.7,2015
1071,Morgan State,6.5,2015
1072,Motlow State Community College,2,2015
1073,Mount St. Mary's,2.7,2015
1074,Murray State,2,2015
1075,NC State,3,2015
1076,NJIT,2,2015
1077,Navarro College,2,2015
1078,Nebraska,7.3,2015
1079,New Mexico,5,2015
1080,New Mexico Junior College,4.3,2015
1081,New Mexico Military Institute,2,2015
1082,New Orleans,2,2015
1083,New York University,2,2015
1084,Newberry College,2.7,2015
1085,Newman University,2,2015
1086,Nicholls State,2,2015
1087,Norfolk State,2,2015
1088,North Carolina A&T,4,2015
1089,North Carolina Central,6,2015
1090,North Dakota,2,2015
1091,North Florida,2,2015
1092,North Idaho College,2,2015
1093,Northeast Community College,2,2015
1094,Northeastern Junior College,2,2015
1095,Northeastern Oklahoma A&M College,2,2015
1096,Northern Arizona,2,2015
1097,Northern Colorado,4.3,2015
1098,Northern Oklahoma College-Tonkawa,2,2015
1099,Northwest Christian University,2,2015
1100,Northwest Florida State College,8,2015
1101,Northwest Kansas Technical College,4.5,2015
1102,Northwest Missouri State University,2,2015
1103,Northwest Nazarene University,6,2015
1104,Northwestern,3,2015
1105,Northwood University,2,2015
1106,Nyack College,2,2015
1107,Oakland,5,2015
1108,Odessa College,14,2015
1109,Ohio,8.7,2015
1110,Ohio State,5.4,2015
1111,Oklahoma,3.3,2015
1112,Oklahoma City University,2,2015
1113,Oklahoma State,2.7,2015
1114,Old Dominion,5.2,2015
1115,Ole Miss,4,2015
1116,Olivet Nazarene University,2,2015
1117,Omaha,2,2015
1118,Oral Roberts,2.3,2015
1119,Oregon,6,2015
1120,Ouachita Baptist University,4,2015
1121,Pace University,8.5,2015
1122,Pacific,2,2015
1123,Palm Beach Atlantic University,4,2015
1124,Palm Beach State College,2,2015
1125,Panola College,2,2015
1126,Parkland College,2,2015
1127,Pasadena City College,2,2015
1128,Pepperdine,2.7,2015
1129,Philander Smith College,2,2015
1130,Phoenix College,2,2015
1131,Point Loma Nazarene University,2,2015
1132,Portland State,3,2015
1133,Prairie View A&M,2,2015
1134,Purdue,2,2015
1135,Purdue University Calumet,2,2015
1136,Queens University of Charlotte,5.3,2015
1137,Ranger College,2,2015
1138,Redlands Community College,2,2015
1139,Rice,4.3,2015
1140,Richmond,3,2015
1141,Rider,2,2015
1142,Ripon College,2.3,2015
1143,Roanoke College,2,2015
1144,Robert Morris,3,2015
1145,Robert Morris University-Illinois,4,2015
1146,Rockhurst University,2,2015
1147,Rogers State University,4,2015
1148,Rollins College,4,2015
1149,Ryerson University,2,2015
1150,SMU,9,2015
1151,Sacred Heart,6,2015
1152,Saddleback College,2.5,2015
1153,Saginaw Valley State University,4,2015
1154,Saint Anselm College,2,2015
1155,Saint Leo University,2.3,2015
1156,Saint Martin's University,2,2015
1157,Saint Mary's,9,2015
1158,Salt Lake Community College,2,2015
1159,San Bernardino Valley College,2.5,2015
1160,San Jacinto College,2,2015
1161,San José State,2,2015
1162,Santa Fe College,4,2015
1163,Santa Rosa Junior College,2,2015
1164,Seattle,2,2015
1165,Seton Hall,2.5,2015
1166,Shelton State Community College,2,2015
1167,Shepherd Unviersity,2,2015
1168,Shorter University,8.5,2015
1169,Simon Fraser University,4,2015
1170,Slippery Rock University of Pennsylvania,2,2015
1171,Snow College,2,2015
1172,South Alabama,4.7,2015
1173,South Dakota,6,2015
1174,South Dakota State,2.7,2015
1175,South Florida,4,2015
1176,South Plains College,10.5,2015
1177,Southeast Missouri State,4,2015
1178,Southeastern Louisiana,10,2015
1179,Southeastern University,2,2015
1180,Southern,2,2015
1181,Southern Miss,2,2015
1182,Southern Wesleyan University,2,2015
1183,Southwest Tennessee Community College,4,2015
1184,St. Catharine College,3.3,2015
1185,St. Cloud State University,2,2015
1186,Stephen F. Austin,2,2015
1187,Stetson,2,2015
1188,Stony Brook,2,2015
1189,Syracuse,4,2015
1190,Tarleton State University,4.7,2015
1191,Temple,2.7,2015
1192,Tennessee,6,2015
1193,Tennessee State,4,2015
1194,Texas,4,2015
1195,Texas A&M,7,2015
1196,Texas A&M University-Commerce,2,2015
1197,Texas A&M University–Kingsville,2,2015
1198,Texas A&M–Corpus Christi,2,2015
1199,Texas Southern,11.8,2015
1200,Texas State,2,2015
1201,Texas Wesleyan University,2.3,2015
1202,Texas–Rio Grande Valley,6.3,2015
1203,The College of Idaho,2,2015
1204,The Master's College,3.7,2015
1205,Toledo,2.3,2015
1206,Towson,6.2,2015
1207,Trevecca Nazarene University,4,2015
1208,Trinity College,2,2015
1209,Trinity Valley Community College,4,2015
1210,Troy,2.3,2015
1211,Tulane,5,2015
1212,Tulsa,2,2015
1213,UAB,2,2015
1214,UC Davis,3,2015
1215,UCF,3,2015
1216,UIC,2.7,2015
1217,UMBC,4,2015
1218,UMass Lowell,2,2015
1219,UNC Asheville,2.3,2015
1220,UNCG,2,2015
1221,UNCW,6,2015
1222,UNLV,9,2015
1223,USC Upstate,2,2015
1224,UT Arlington,5,2015
1225,UT Martin,3,2015
1226,Union University,4,2015
1227,University of Alabama in Huntsville,2,2015
1228,University of Arkansas - Fort Smith,2,2015
1229,University of Arkansas – Fort Smith,2,2015
1230,University of Bridgeport,2,2015
1231,"University of California, San Diego",2,2015
1232,University of Central Missouri,4,2015
1233,University of Central Oklahoma,2,2015
1234,University of Charleston,8,2015
1235,University of Helsinki,2,2015
1236,University of Illinois at Springfield,2,2015
1237,University of Indianapolis,6,2015
1238,University of Jamestown,2,2015
1239,University of Maine at Presque Isle,2,2015
1240,University of Mary Washington,2,2015
1241,University of Missouri–St. Louis,2,2015
1242,University of Mobile,4,2015
1243,University of North Georgia,8.5,2015
1244,University of Pikeville,6,2015
1245,University of Pittsburgh at Johnstown,2,2015
1246,University of South Carolina Aiken,6,2015
1247,University of Southern Indiana,2,2015
1248,University of St. Francis,2,2015
1249,University of St. Thomas,2,2015
1250,University of Tampa,4,2015
1251,University of Texas At Dallas,2,2015
1252,University of Texas at Dallas,2,2015
1253,University of Toronto,2,2015
1254,University of West Alabama,2,2015
1255,University of West Florida,2,2015
1256,University of Wisconsin–Parkside,2,2015
1257,Utah State,2,2015
1258,Utah State University Eastern,6,2015
1259,Utah Valley,2,2015
1260,Valdosta State University,4,2015
1261,Valparaiso,4,2015
1262,Vanderbilt,2,2015
1263,Vermont,2,2015
1264,Virginia,3,2015
1265,Virginia Tech,5.3,2015
1266,Virginia Union University,2,2015
1267,Virginia Wesleyan College,2,2015
1268,Wagner,2,2015
1269,Wake Forest,2,2015
1270,Walsh University,2,2015
1271,Wasburn University,2.3,2015
1272,Washington State,2.7,2015
1273,Wayland Baptist University,2,2015
1274,Wesley College,2,2015
1275,West Chester University of Pennsylvania,2,2015
1276,West Liberty University,4,2015
1277,West Virginia University Institute of Technology,2,2015
1278,Western Nebraska Community College,2,2015
1279,Western New England University,2,2015
1280,Western Texas College,4,2015
1281,Western Washington University,3,2015
1282,Westmont College,2,2015
1283,Whitman College,4,2015
1284,Widener University,2,2015
1285,William & Mary,2.3,2015
1286,William Jewell College,2,2015
1287,William Penn University,2,2015
1288,Williston State College,4.3,2015
1289,Wingate University,2,2015
1290,Winona State University,2,2015
1291,Winston-Salem State University,6.7,2015
1292,Winthrop,4,2015
1293,Wofford,2,2015
1294,Wright State,2,2015
1295,Young Harris College,2,2015
1296,Youngstown State,2,2015
1297,Acadia University,2,2016
1298,Adelphi,2.5,2016
1299,Alabama,8.3,2016
1300,Alabama–Huntsville,2,2016
1301,Alaska Anchorage,2,2016
1302,Albany State,4,2016
1303,Alcorn State,2,2016
1304,Angelo State,4,2016
1305,Appalachian State,6,2016
1306,Arizona,2,2016
1307,Arizona Christian University,2.3,2016
1308,Arizona State,5.3,2016
1309,Arizona Western College,2.3,2016
1310,Arkansas,6,2016
1311,Arkansas Tech,8.7,2016
1312,Arkansas–Fort Smith,8,2016
1313,Arkansas–Monticello,6,2016
1314,Armstrong State,4,2016
1315,Asbury University,2,2016
1316,Auburn,3.3,2016
1317,Augusta,2,2016
1318,Austin Community College,2,2016
1319,Azusa Pacific,2,2016
1320,Ball State,4,2016
1321,Barry,6,2016
1322,Baylor,2,2016
1323,Bemidji State,2,2016
1324,Berry College,2,2016
1325,Bethune–Cookman,2,2016
1326,Binghamton,2,2016
1327,Biola University,2,2016
1328,Blinn College,4.7,2016
1329,Bloomfield,2,2016
1330,Bloomsburg,2,2016
1331,Boise State,4.7,2016
1332,Boston College,2.7,2016
1333,Bowie State,4.5,2016
1334,Bradley,3,2016
1335,Brevard,2,2016
1336,Bridgeport,4,2016
1337,Brigham Young,2,2016
1338,Broward College,2,2016
1339,Buffalo,3.3,2016
1340,Butler,4.3,2016
1341,Cal Poly,3,2016
1342,Cal State Bakersfield,3,2016
1343,Cal State East Bay,7,2016
1344,Cal State Los Angeles,6.7,2016
1345,Cal State Northridge,17.2,2016
1346,Cal State San Bernardino,7.3,2016
1347,Cal State San Marcos,6,2016
1348,Caldwell,2,2016
1349,California,2,2016
1350,California (PA),2,2016
1351,California Baptist,4,2016
1352,Cameron,2,2016
1353,Campbellsville University,4,2016
1354,Canisius,2,2016
1355,Carleton University,4.5,2016
1356,Carson–Newman,2,2016
1357,Casper College,2,2016
1358,Cedarville,2,2016
1359,Central Methodist University,2,2016
1360,Central Michigan,2,2016
1361,Central Missouri,8,2016
1362,Central Oklahoma,2,2016
1363,Central State,2,2016
1364,Chaminade,4,2016
1365,Charleston,4,2016
1366,Charleston Southern,4,2016
1367,Charlotte,6.3,2016
1368,Chattanooga,2,2016
1369,Chestnut Hill,2,2016
1370,Cheyney,2,2016
1371,Chicago State,2,2016
1372,Chipola College,7.3,2016
1373,Christian Brothers,2,2016
1374,Cincinnati,4,2016
1375,City College of San Francisco,4.3,2016
1376,Claflin,2,2016
1377,Clarion,4,2016
1378,Clark College,4,2016
1379,Clayton State,4,2016
1380,Clemson,5.7,2016
1381,Cleveland State,2,2016
1382,College of Central Florida,2,2016
1383,College of Charleston,2,2016
1384,College of Idaho,2,2016
1385,College of Southern Idaho,5,2016
1386,College of the Sequoias,2,2016
1387,Colorado,2,2016
1388,Colorado Christian,2,2016
1389,Colorado Colorado Springs,2,2016
1390,Colorado Mesa,2,2016
1391,Colorado State–Pueblo,2,2016
1392,Columbia State Community College,4.3,2016
1393,Community College of Beaver County,2,2016
1394,Connecticut,9,2016
1395,Connors State College,2,2016
1396,Coppin State,5,2016
1397,Creighton,3,2016
1398,Dalton State College,2.7,2016
1399,Davidson,2,2016
1400,Dayton,3.7,2016
1401,Daytona State College,2,2016
1402,Delaware,2,2016
1403,Delta State,2,2016
1404,Des Moines Area Community College,4,2016
1405,Diablo Valley College,2.3,2016
1406,District of Columbia,2,2016
1407,Dixie State,4,2016
1408,Dodge City Community College,4,2016
1409,Drexel,3,2016
1410,Duquesne,2.7,2016
1411,ETSU,13.4,2016
1412,Eastern Florida State College,2.3,2016
1413,Eastern Illinois,2,2016
1414,Eastern Kentucky,2,2016
1415,Eastern Michigan,4.5,2016
1416,Eastern Oregon University,2,2016
1417,Eastern Washington,8.8,2016
1418,Eastfield College,2,2016
1419,"Embry-Riddle Aeronautical University, Prescott",2,2016
1420,Embry–Riddle,5,2016
1421,Emporia State,6,2016
1422,Evansville,2,2016
1423,Fairfield,2,2016
1424,Fairmont State,4,2016
1425,Fayetteville State,2,2016
1426,Flagler,2,2016
1427,Florida,3,2016
1428,Florida Atlantic,4.7,2016
1429,Florida Gulf Coast,7.9,2016
1430,Florida Southern,2,2016
1431,Florida State College at Jacksonville,2,2016
1432,Frank Phillips College,2,2016
1433,Fresno Pacific,4,2016
1434,Fresno State,8,2016
1435,Fullerton College,6,2016
1436,GCU,10.7,2016
1437,Gannon,4,2016
1438,Garden City Community College,2.3,2016
1439,George Washington,5.3,2016
1440,Georgetown College,7,2016
1441,Georgia Southern,4,2016
1442,Georgia Southwestern,12,2016
1443,Georgia State,6.3,2016
1444,Georgia Tech,4.3,2016
1445,Glenville State,6,2016
1446,Gonzaga,10.3,2016
1447,Gordon State College,2,2016
1448,Green Bay,4,2016
1449,Gwynedd Mercy University,2,2016
1450,Hartford,2,2016
1451,Hawaii,4.3,2016
1452,Hawaii Pacific,4,2016
1453,Henderson State,6,2016
1454,Hill College,2,2016
1455,Hillsdale,2,2016
1456,Hofstra,4,2016
1457,Holmes Community College,2,2016
1458,Holy Names,2,2016
1459,Houston,3,2016
1460,Houston Baptist,2,2016
1461,Howard College,4,2016
1462,Huntington University,2,2016
1463,Huston–Tillotson University,2,2016
1464,Hutchinson Community College,2,2016
1465,IUPUI,3.3,2016
1466,Idaho,2,2016
1467,Illinois,4.3,2016
1468,Illinois State,2,2016
1469,Indian Hills Community College,9.7,2016
1470,Indiana,6,2016
1471,Indiana (PA),4,2016
1472,Indiana Wesleyan University,2.3,2016
1473,Indianapolis,8.3,2016
1474,Iona,7,2016
1475,Iowa State,7,2016
1476,Iowa Western Community College,4,2016
1477,Irvine Valley College,2,2016
1478,Jackson State,2,2016
1479,Jacksonville,2,2016
1480,Jacksonville State,6,2016
1481,James Madison,2,2016
1482,Jarvis Christian College,2,2016
1483,Jefferson,2,2016
1484,John A. Logan College,4,2016
1485,John Brown University,4,2016
1486,Jones County Junior College,2.7,2016
1487,Kansas,3,2016
1488,Kaskaskia College,2,2016
1489,Kennesaw State,2,2016
1490,Kent State,4,2016
1491,Kentucky State,2,2016
1492,Kentucky Wesleyan,9,2016
1493,Kilgore College,2,2016
1494,King,2.5,2016
1495,Kirkwood Community College,4,2016
1496,Kutztown,2,2016
1497,LIU Post,2,2016
1498,LSU,4,2016
1499,La Salle,11.4,2016
1500,Lake Superior State,2,2016
1501,Lamar State College-Port Arthur,2,2016
1502,Lamar State College–Port Arthur,2,2016
1503,Lander,2,2016
1504,Lawson State Community College,8,2016
1505,LeTourneau University,2,2016
1506,Lee,4,2016
1507,Lees–McRae,2,2016
1508,Lenoir–Rhyne,2,2016
1509,Lewis,2,2016
1510,Lewis–Clark State College,2,2016
1511,Liberty,5.3,2016
1512,Life University,2,2016
1513,Limestone,4,2016
1514,Lincoln (MO),2,2016
1515,Lindenwood,6,2016
1516,Lindenwood University – Belleville,4,2016
1517,Lindenwood University–Belleville,2,2016
1518,Lipscomb,4,2016
1519,Little Rock,12.4,2016
1520,Lock Haven,2,2016
1521,Long Beach State,2.5,2016
1522,Louisburg College,2,2016
1523,Louisiana,2,2016
1524,Louisiana State University at Alexandria,2,2016
1525,Louisiana State University in Shreveport,2.3,2016
1526,Louisiana Tech,3.3,2016
1527,Louisville,7.1,2016
1528,Loyola Chicago,3.3,2016
1529,Loyola University New Orleans,2,2016
1530,Lubbock Christian,2,2016
1531,Luther College,2,2016
1532,Lynn,6,2016
1533,Maine,2,2016
1534,Malone,2,2016
1535,Manhattan,2.3,2016
1536,Marquette,2,2016
1537,Marshall,2,2016
1538,Martin Methodist College,4,2016
1539,Maryland,5,2016
1540,Marymount University,2,2016
1541,Massachusetts,6,2016
1542,Memphis,2.3,2016
1543,Mercy,2,2016
1544,Mercyhurst,4.3,2016
1545,Metro State,4,2016
1546,Miami,3,2016
1547,Miami (OH),4.5,2016
1548,Mid-America Christian University,2,2016
1549,MidAmerica Nazarene University,4,2016
1550,Middle Tennessee,2.7,2016
1551,Midland College,6,2016
1552,Midwestern State,6,2016
1553,Miles,4,2016
1554,Milligan College,2,2016
1555,Milwaukee,2.5,2016
1556,Mineral Area College,2,2016
1557,Minnesota,4.7,2016
1558,Minnesota State,8.3,2016
1559,Mississippi College,2.7,2016
1560,Mississippi Gulf Coast Community College,2,2016
1561,Mississippi State,2,2016
1562,Mississippi Valley State,2,2016
1563,Missouri,2,2016
1564,Missouri Baptist University,2,2016
1565,Missouri Southern,4,2016
1566,Missouri–St. Louis,2,2016
1567,Montana,3.3,2016
1568,Montevallo,2,2016
1569,Montreat College,2,2016
1570,Mott Community College,2,2016
1571,Mount St. Mary's,2,2016
1572,Murray State,5.3,2016
1573,NC State,2.3,2016
1574,NJIT,2,2016
1575,Navarro College,3,2016
1576,Nebraska,6,2016
1577,Nevada,9.3,2016
1578,New Hampshire,2,2016
1579,New Mexico,2,2016
1580,New Mexico Junior College,2,2016
1581,New Mexico Military Institute,2,2016
1582,New York University,2,2016
1583,Newman,6.7,2016
1584,Niagara,4.7,2016
1585,Nicholls State,5,2016
1586,Norfolk State,6.7,2016
1587,North Alabama,2,2016
1588,North Carolina A&T,2,2016
1589,North Carolina Central,4,2016
1590,North Carolina Wesleyan College,2,2016
1591,North Dakota,2,2016
1592,North Georgia,2,2016
1593,North Greenville,2.5,2016
1594,North Idaho College,2,2016
1595,North Platte Community College,2,2016
1596,North Texas,3,2016
1597,Northeastern State,2,2016
1598,Northern Colorado,4,2016
1599,Northern Kentucky,2.7,2016
1600,Northwest Florida State College,7,2016
1601,Northwest Mississippi Community College,5,2016
1602,Northwest Nazarene,2,2016
1603,Northwestern,2,2016
1604,Northwood,2,2016
1605,Northwood University,2,2016
1606,Nova Southeastern,6,2016
1607,Oakland,5.7,2016
1608,Oakland City,2,2016
1609,Odessa College,11.3,2016
1610,Oklahoma Baptist,2,2016
1611,Oklahoma City University,2.3,2016
1612,Oklahoma State,2,2016
1613,Old Dominion,9,2016
1614,Ole Miss,6,2016
1615,Omaha,2,2016
1616,Oregon,2.3,2016
1617,Otero Junior College,2,2016
1618,Our Lady of the Lake University,4.3,2016
1619,Pacific,2.7,2016
1620,Palm Beach Atlantic,4,2016
1621,Palm Beach State College,6.7,2016
1622,Panola College,9,2016
1623,Paris Junior College,5.3,2016
1624,Penn,2,2016
1625,Penn State,3,2016
1626,Pensacola State College,7,2016
1627,Peru State College,2,2016
1628,Philander Smith College,2.7,2016
1629,Pitt Community College,2,2016
1630,Pittsburg State,2,2016
1631,Pittsburgh,6.7,2016
1632,Point Loma Nazarene,4.7,2016
1633,Polk State College,4,2016
1634,Portland State,4.3,2016
1635,Pratt Community College,5.3,2016
1636,"Presentation College, South Dakota",2,2016
1637,Providence,2,2016
1638,Purdue,2,2016
1639,Purdue Fort Wayne,6.7,2016
1640,Queens (NC),2,2016
1641,Quincy,4,2016
1642,Quinnipiac,2,2016
1643,Radford,2,2016
1644,Rhode Island,10,2016
1645,Robert Morris University Illinois,4,2016
1646,Rockhurst,2,2016
1647,Rogers State,6,2016
1648,Rollins,4,2016
1649,Rutgers,4.3,2016
1650,Ryerson University,2.3,2016
1651,SIUE,8.5,2016
1652,SMU,4.3,2016
1653,Sacred Heart,2,2016
1654,Saginaw Valley State,2,2016
1655,Saint Anselm,2,2016
1656,Saint Leo,2,2016
1657,Saint Martin's,2,2016
1658,Salt Lake Community College,4.5,2016
1659,Sam Houston State,2,2016
1660,Samford,6.5,2016
1661,San Diego State,7,2016
1662,San Francisco,2.3,2016
1663,San Francisco State,2,2016
1664,San Jacinto College,6,2016
1665,Santa Clara,2.3,2016
1666,Santa Fe College,4,2016
1667,Savannah State,2,2016
1668,Schoolcraft College,2,2016
1669,Seattle Pacific,6,2016
1670,Seton Hall,8.6,2016
1671,Seton Hill,2,2016
1672,Seward County Community College,4.7,2016
1673,Shaw,2,2016
1674,Shorter,4,2016
1675,Siena,4,2016
1676,Slippery Rock,4,2016
1677,South Alabama,3,2016
1678,South Dakota,7,2016
1679,South Florida,6,2016
1680,South Georgia State College,2,2016
1681,South Plains College,7,2016
1682,Southeastern Community College,2,2016
1683,Southeastern Louisiana,2,2016
1684,Southeastern Oklahoma State,2,2016
1685,Southeastern University,4,2016
1686,Southern,4,2016
1687,Southern Connecticut State,2,2016
1688,Southern Indiana,2,2016
1689,Southern Miss,2,2016
1690,Southern Utah,2,2016
1691,Southwest Baptist,4,2016
1692,Southwest Tennessee Community College,2,2016
1693,Southwestern Christian University,2,2016
1694,Southwestern Illinois College,4,2016
1695,Southwestern Oklahoma State,4,2016
1696,Spartanburg Methodist College,2,2016
1697,St. Bonaventure,4.7,2016
1698,St. Cloud State,6,2016
1699,St. John's,8,2016
1700,St. Mary's (TX),2,2016
1701,St. Peter's,6.5,2016
1702,St. Thomas University,4.7,2016
1703,State College of Florida,2,2016
1704,Stillman,2,2016
1705,Syracuse,4,2016
1706,Talladega College,2,2016
1707,Tallahassee Community College,2,2016
1708,Tampa,2,2016
1709,Tarleton State,4.3,2016
1710,Tennessee State,7,2016
1711,Texas A&M,2.3,2016
1712,Texas A&M International,4,2016
1713,Texas A&M–Commerce,6,2016
1714,Texas A&M–Kingsville,2,2016
1715,Texas Southern,6,2016
1716,Texas Wesleyan University,2.5,2016
1717,Texas–Permian Basin,13,2016
1718,Texas–Rio Grande Valley,12.7,2016
1719,The Citadel,4,2016
1720,Tiffin,4,2016
1721,Toledo,3.7,2016
1722,Towson,3,2016
1723,Trinity College,2,2016
1724,Trinity Valley Community College,12.4,2016
1725,Triton College,2,2016
1726,Tulane,3,2016
1727,Tulsa,3,2016
1728,Tyler Junior College,4,2016
1729,UAB,2.5,2016
1730,UC Riverside,2.7,2016
1731,UIS,4,2016
1732,UMBC,3,2016
1733,UNC Pembroke,2,2016
1734,UNCW,5,2016
1735,UNLV,6,2016
1736,USC,6.3,2016
1737,USC Aiken,6.7,2016
1738,UT Martin,6,2016
1739,Union,4,2016
1740,Union College,2.7,2016
1741,University of Antelope Valley,2,2016
1742,University of Regina,2,2016
1743,University of Toronto,2,2016
1744,University of Wisconsin–Whitewater,4,2016
1745,University of the Cumberlands,4,2016
1746,Urbana,2,2016
1747,Utah Valley,11.7,2016
1748,VCU,2,2016
1749,Valdosta State,2,2016
1750,Vermont,4,2016
1751,Villanova,2.7,2016
1752,Vincennes University,2,2016
1753,Virginia,4.7,2016
1754,Virginia State,4,2016
1755,Virginia–Wise,2,2016
1756,Wagner,4.3,2016
1757,Wake Forest,2,2016
1758,Waldorf College,2,2016
1759,Warner University,2,2016
1760,Washburn,2,2016
1761,Washington,2.7,2016
1762,Wayne State (MI),2,2016
1763,West Alabama,6,2016
1764,West Georgia,4,2016
1765,West Virginia,2,2016
1766,Western Kentucky,5,2016
1767,Western Nebraska Community College,2,2016
1768,Western Oregon,4,2016
1769,Western Washington,2,2016
1770,Wichita State,9.7,2016
1771,Wiley College,2,2016
1772,William Penn University,4.5,2016
1773,Williston State College,4.7,2016
1774,Wingate,2,2016
1775,Winston-Salem State,6,2016
1776,Winthrop,4.3,2016
1777,Wisconsin–Parkside,2,2016
1778,Wright State,2,2016
1779,Xavier,2,2016
1780,Xavier University of Louisiana,2,2016
1781,Young Harris,2,2016
1782,ASA College Miami,2,2017
1783,Alabama,8.3,2017
1784,Alabama State,3,2017
1785,Alaska,2,2017
1786,Alaska Anchorage,2,2017
1787,Albertus Magnus College,4,2017
1788,Alcorn State,2,2017
1789,Allegany College of Maryland,2,2017
1790,Allen University,2,2017
1791,American,3,2017
1792,Angelo State,8,2017
1793,Appalachian State,2,2017
1794,Arizona,4,2017
1795,Arizona Christian University,4.7,2017
1796,Arkansas Tech,10,2017
1797,Arkansas–Fort Smith,9.7,2017
1798,Arkansas–Pine Bluff,4,2017
1799,Armstrong State,2,2017
1800,Auburn,8,2017
1801,Ava Maria University,4,2017
1802,Azusa Pacific,2,2017
1803,Ball State,4,2017
1804,Baltimore City Community College,2,2017
1805,Bard College,2,2017
1806,Barry,4,2017
1807,Barton Community College,2,2017
