teamName,year,returningMins%,wins,totalGames,OE,DE,sos,adjTempo,win ratio,overall efficiency
Abilene Christian,2015,69.2,2.0,21,95.075190201908,116.40107410333,16.363423809524,64.886161451292,0.0952380952380952,-21.325883901422003
Abilene Christian,2016,56.56,7.0,28,90.519114985362,111.20328864218,9.91605,64.001830086287,0.25,-20.684173656818004
Abilene Christian,2017,53.72,9.0,27,96.250573264979,111.67985433145,8.8713407407407,68.326965542808,0.3333333333333333,-15.429281066471006
Abilene Christian,2018,91.82,9.0,25,97.529408296961,107.58406473099,9.309376,67.078451510787,0.36,-10.054656434029
Abilene Christian,2019,65.94,12.0,28,96.508749964173,106.59734767018,9.7432071428571,69.765493141869,0.4285714285714285,-10.088597706006992
Abilene Christian,2020,42.8885773775,23.0,30,102.00787053456,101.5853705364,10.04207,65.602002353802,0.7666666666666667,0.4224999981599922
Abilene Christian,2021,72.0120115614,16.0,27,100.77815909175,97.869353357458,10.982259259259,68.226227856118,0.5925925925925926,2.9088057342920024
Air Force,2013,83.52,11.0,27,98.150278360869,100.27867434188,21.531040740741,62.264869703698,0.4074074074074074,-2.1283959810110105
Air Force,2014,29.98,16.0,30,109.16228647244,103.51621284168,28.00498,64.391561772027,0.5333333333333333,5.64607363076
Air Force,2015,71.62,10.0,28,98.875100450018,104.90983793979,17.471535714286,65.543673190941,0.3571428571428571,-6.034737489771999
Air Force,2016,47.62,12.0,29,105.02578854476,110.24951812849,16.414931034483,61.612497900927,0.4137931034482758,-5.223729583729991
Air Force,2017,79.18,12.0,30,98.164464574104,105.27722071748,16.22568,67.880470795586,0.4,-7.112756143376004
Air Force,2018,70.8,10.0,31,103.03723424123,107.30290056108,15.111967741935,68.331779069873,0.3225806451612903,-4.2656663198499984
Air Force,2019,50.86,10.0,29,99.740734226065,104.90997472989,17.188893103448,66.855510361949,0.3448275862068966,-5.169240503824994
Air Force,2020,92.6585319692,13.0,31,100.76861113117,107.08215308845,16.209364516129,66.26883440007,0.4193548387096774,-6.313541957279995
Air Force,2021,41.4351397758,11.0,31,106.42133045588,109.03828202993,17.372509677419,68.650991362003,0.3548387096774194,-2.616951574050006
Akron,2013,55.5,21.0,33,105.62262025643,97.649849547327,19.524318181818,67.783575331438,0.6363636363636364,7.972770709103003
Akron,2014,54.22,25.0,32,103.4200096928,94.418162200748,16.0581375,66.463832434248,0.78125,9.001847492051994
Akron,2015,50.48,21.0,34,104.95123155849,101.69521228061,14.295552941176,65.671932063502,0.6176470588235294,3.25601927788
Akron,2016,75.82,20.0,34,103.41138815093,97.096390403343,14.011329411765,64.058022529334,0.5882352941176471,6.314997747587
Akron,2017,68.5,25.0,34,108.85150516534,100.24398346251,14.622526470588,68.257536281785,0.7352941176470589,8.607521702829999
Akron,2018,21.66,26.0,35,111.13180252524,105.36362087435,14.798205714286,67.352456102417,0.7428571428571429,5.76818165089
Akron,2019,47.32,13.0,31,102.34685197346,107.42254810322,12.715348387097,68.855424312796,0.4193548387096774,-5.07569612975999
Akron,2020,76.6340186818,15.0,31,99.389867240002,93.964482739303,17.427822580645,66.024565970313,0.4838709677419355,5.4253845006990105
Akron,2021,40.0839671606,22.0,29,107.90934411245,98.784540681253,13.959062068966,69.401389526765,0.7586206896551724,9.124803431196996
Alabama,2013,70.06,21.0,33,104.28733674217,88.261345674674,27.869103030303,62.855514401565,0.6363636363636364,16.025991067495994
Alabama,2014,62.34,22.0,35,102.63845987,89.730448873191,24.957402857143,61.671439619232,0.6285714285714286,12.908010996809011
Alabama,2015,62.32,12.0,31,108.25767727462,98.002573509541,30.221719354839,63.719211856638,0.3870967741935484,10.255103765079
Alabama,2016,57.28,18.0,33,110.18512415219,98.140056710661,30.752516666667,62.762166225414,0.5454545454545454,12.045067441529
Alabama,2017,48.32,18.0,33,105.31043628772,96.332797089867,33.028290909091,65.689020843545,0.5454545454545454,8.977639197852994
Alabama,2018,61.36,19.0,34,104.34940069061,91.789223986787,27.275344117647,66.556438387997,0.5588235294117647,12.560176703823004
Alabama,2019,76.76,20.0,36,107.87938893674,95.35428113188,32.1154,69.890541529739,0.5555555555555556,12.52510780486
Alabama,2020,74.2999994977,18.0,34,108.31294903687,97.05403298174,32.229667647059,68.572097866803,0.5294117647058824,11.25891605513
Alabama,2021,52.7316389768,16.0,31,111.44593943518,99.187417955256,25.502941935484,74.670057550259,0.5161290322580645,12.258521479924
Alabama A&M,2013,55.3,5.0,26,88.420284115583,111.7312910602,9.0025384615385,67.894175353898,0.1923076923076923,-23.31100694461699
Alabama A&M,2014,95.0,9.0,29,89.174423277915,111.0894379844,9.9232448275862,66.14688347106,0.3103448275862069,-21.91501470648501
Alabama A&M,2015,21.22,12.0,28,91.606728617153,104.94969042677,8.2458857142857,65.824096047862,0.4285714285714285,-13.342961809617009
Alabama A&M,2016,61.08,8.0,28,92.853181736438,114.02946417293,10.1929,63.470279163053,0.2857142857142857,-21.176282436492
Alabama A&M,2017,37.18,10.0,28,98.300639680145,113.53632623316,6.7202642857143,66.148976572341,0.3571428571428571,-15.235686553015
Alabama A&M,2018,45.08,2.0,29,90.484447755654,123.66188718828,6.5973,65.712303524483,0.0689655172413793,-33.177439432626
Alabama A&M,2019,50.52,3.0,31,87.652537814205,114.97077939572,11.712148387097,67.514126186171,0.0967741935483871,-27.318241581515
Alabama A&M,2020,51.9703942432,5.0,32,88.349173825304,110.14897776408,9.252653125,65.603354518317,0.15625,-21.799803938775995
