teamName,year,prev_3s_recruits,prev_4s_recruits,prev_5s_recruits,curr_3s_recruits,curr_4s_recruits,curr_5s_recruits,seed_points,NIT,R64,R32,S16,E8,F4,F2,CHMP,returningMins%,sos,adjTempo,win ratio,overall efficiency,stars,label
Alabama A&M,2016,0,0,0,0,0,0,-0.414574936,1,0,0,0,0,0,0,0,0.6108,0.101929,-1.274621639,0.285714286,-1.776577935,-0.845030615,0
Alabama A&M,2017,0,0,0,0,0,0,-0.414574936,1,0,0,0,0,0,0,0,0.3718,0.067202643,-0.428264082,0.357142857,-1.278666883,-0.845030615,0
Alabama A&M,2018,0,0,0,0,0,0,-0.414574936,1,0,0,0,0,0,0,0,0.4508,0.065973,-0.566234699,0.068965517,-2.782454927,0.434097483,0
Alabama A&M,2019,0,0,0,0,0,0,-0.414574936,1,0,0,0,0,0,0,0,0.5052,0.117121484,0.003066716,0.096774194,-2.29136625,-0.205466566,0
Alabama A&M,2020,0,0,0,0,0,0,-0.414574936,1,0,0,0,0,0,0,0,0.519703942,0.092526531,-0.600658077,0.15625,-1.828838391,0.753879508,0
Alabama A&M,2021,0,0,0,0,0,0,-0.414574936,1,0,0,0,0,0,0,0,0.645529103,0.096596167,0.177206446,0.266666667,-1.833456185,-0.205466566,0
Alabama St.,2013,0,0,0,0,0,0,-0.414574936,1,0,0,0,0,0,0,0,0.489,0.115161552,-0.875545594,0.344827586,-1.596393347,-0.845030615,0
Alabama St.,2014,0,0,0,0,0,0,-0.414574936,1,0,0,0,0,0,0,0,0.3054,0.118086258,-0.163475799,0.290322581,-1.589650731,-0.845030615,0
Alabama St.,2015,0,0,0,0,0,0,-0.414574936,1,0,0,0,0,0,0,0,0.9872,0.058791724,0.001487101,0.551724138,-1.39746486,-0.845030615,0
Alabama St.,2016,0,0,0,1,0,0,-0.414574936,1,0,0,0,0,0,0,0,0.3186,0.07970737,0.162992386,0.62962963,-0.894222785,-0.845030615,0
Alabama St.,2017,1,0,0,0,0,0,-0.414574936,1,0,0,0,0,0,0,0,0.632,0.089515897,0.704270706,0.413793103,-1.070837628,0.114315458,0
Alabama St.,2018,0,0,0,0,0,0,-0.414574936,1,0,0,0,0,0,0,0,0.4512,0.086539867,0.780057259,0.233333333,-2.016250576,-0.845030615,0
Alabama St.,2019,0,0,0,0,0,0,-0.414574936,1,0,0,0,0,0,0,0,0.7686,0.113206226,0.856595031,0.258064516,-1.807653103,-0.845030615,0
